The Number of entries of High Arousal: 101 & Low Arousal: 195
The Number of entries of High Valence: 170 & Low Valence: 126
The Number of entries of Positive Task: 148 & Negative Task: 148
The Number of entries of High Arousal: 101 & Low Arousal: 195
The Number of entries of High Valence: 170 & Low Valence: 126
The Number of entries of Positive Task: 148 & Negative Task: 148
The Number of entries of High Arousal: 101 & Low Arousal: 195
The Number of entries of High Valence: 170 & Low Valence: 126
The Number of entries of Positive Task: 148 & Negative Task: 148
Running Mean | Seed=42 | fold=1 | pid=1 | Acc=0.6250 | F1=0.0000
Running Mean | Seed=42 | fold=2 | pid=2 | Acc=0.6875 | F1=0.3333
Running Mean | Seed=42 | fold=3 | pid=3 | Acc=0.6250 | F1=0.3333
Running Mean | Seed=42 | fold=4 | pid=4 | Acc=0.5625 | F1=0.3864
Running Mean | Seed=42 | fold=5 | pid=5 | Acc=0.5750 | F1=0.4424
Running Mean | Seed=42 | fold=6 | pid=6 | Acc=0.6250 | F1=0.5168
Running Mean | Seed=42 | fold=7 | pid=8 | Acc=0.6250 | F1=0.5382
Running Mean | Seed=42 | fold=8 | pid=9 | Acc=0.5781 | F1=0.4710
Running Mean | Seed=42 | fold=9 | pid=10 | Acc=0.6111 | F1=0.5196
Running Mean | Seed=42 | fold=10 | pid=11 | Acc=0.5750 | F1=0.5077
Running Mean | Seed=42 | fold=11 | pid=12 | Acc=0.5455 | F1=0.4615
Running Mean | Seed=42 | fold=12 | pid=14 | Acc=0.5417 | F1=0.4647
Running Mean | Seed=42 | fold=13 | pid=15 | Acc=0.5288 | F1=0.4709
Running Mean | Seed=42 | fold=14 | pid=16 | Acc=0.5268 | F1=0.4802
Running Mean | Seed=42 | fold=15 | pid=17 | Acc=0.5333 | F1=0.4748
Running Mean | Seed=42 | fold=16 | pid=18 | Acc=0.5469 | F1=0.4920
Running Mean | Seed=42 | fold=17 | pid=19 | Acc=0.5368 | F1=0.4892
Running Mean | Seed=42 | fold=18 | pid=20 | Acc=0.5417 | F1=0.5048
Running Mean | Seed=42 | fold=19 | pid=21 | Acc=0.5461 | F1=0.4782
Running Mean | Seed=42 | fold=20 | pid=22 | Acc=0.5625 | F1=0.4943
Running Mean | Seed=42 | fold=21 | pid=23 | Acc=0.5655 | F1=0.5074
Running Mean | Seed=42 | fold=22 | pid=24 | Acc=0.5739 | F1=0.4843
Running Mean | Seed=42 | fold=23 | pid=25 | Acc=0.5652 | F1=0.4633
Running Mean | Seed=42 | fold=24 | pid=26 | Acc=0.5625 | F1=0.4648
Running Mean | Seed=42 | fold=25 | pid=27 | Acc=0.5700 | F1=0.4662
Running Mean | Seed=42 | fold=26 | pid=28 | Acc=0.5769 | F1=0.4739
Running Mean | Seed=42 | fold=27 | pid=29 | Acc=0.5741 | F1=0.4749
Running Mean | Seed=42 | fold=28 | pid=31 | Acc=0.5625 | F1=0.4722
Running Mean | Seed=42 | fold=29 | pid=32 | Acc=0.5603 | F1=0.4559
Running Mean | Seed=42 | fold=30 | pid=33 | Acc=0.5583 | F1=0.4518
Running Mean | Seed=42 | fold=31 | pid=34 | Acc=0.5524 | F1=0.4465
Running Mean | Seed=42 | fold=32 | pid=35 | Acc=0.5469 | F1=0.4325
