The Number of entries of High Arousal: 114 & Low Arousal: 219
The Number of entries of High Valence: 202 & Low Valence: 131
The Number of entries of Positive Task: 148 & Negative Task: 185
Running Mean | Seed=42 | pid=1 | Acc=0.5556 | F1=0.0000
Running Mean | Seed=42 | pid=2 | Acc=0.5000 | F1=0.3077
Running Mean | Seed=42 | pid=3 | Acc=0.4444 | F1=0.3718
Running Mean | Seed=42 | pid=4 | Acc=0.4722 | F1=0.2788
Running Mean | Seed=42 | pid=5 | Acc=0.4667 | F1=0.2231
Running Mean | Seed=42 | pid=6 | Acc=0.4815 | F1=0.2415
Running Mean | Seed=42 | pid=8 | Acc=0.4762 | F1=0.2478
Running Mean | Seed=42 | pid=9 | Acc=0.4444 | F1=0.2623
Running Mean | Seed=42 | pid=10 | Acc=0.4568 | F1=0.2331
Running Mean | Seed=42 | pid=11 | Acc=0.4444 | F1=0.2098
Running Mean | Seed=42 | pid=12 | Acc=0.4444 | F1=0.2467
Running Mean | Seed=42 | pid=14 | Acc=0.4537 | F1=0.2817
Running Mean | Seed=42 | pid=15 | Acc=0.4530 | F1=0.3073
Running Mean | Seed=42 | pid=16 | Acc=0.4762 | F1=0.2854
Running Mean | Seed=42 | pid=17 | Acc=0.4889 | F1=0.3197
Running Mean | Seed=42 | pid=18 | Acc=0.4931 | F1=0.3206
Running Mean | Seed=42 | pid=19 | Acc=0.4967 | F1=0.3311
Running Mean | Seed=42 | pid=20 | Acc=0.5185 | F1=0.3127
Running Mean | Seed=42 | pid=21 | Acc=0.5205 | F1=0.3278
Running Mean | Seed=42 | pid=22 | Acc=0.5278 | F1=0.3314
Running Mean | Seed=42 | pid=23 | Acc=0.5238 | F1=0.3293
Running Mean | Seed=42 | pid=24 | Acc=0.5202 | F1=0.3345
Running Mean | Seed=42 | pid=25 | Acc=0.5314 | F1=0.3489
Running Mean | Seed=42 | pid=26 | Acc=0.5417 | F1=0.3657
Running Mean | Seed=42 | pid=27 | Acc=0.5467 | F1=0.3739
Running Mean | Seed=42 | pid=28 | Acc=0.5641 | F1=0.3595
Running Mean | Seed=42 | pid=29 | Acc=0.5597 | F1=0.3462
Running Mean | Seed=42 | pid=31 | Acc=0.5675 | F1=0.3651
Running Mean | Seed=42 | pid=32 | Acc=0.5747 | F1=0.3525
Running Mean | Seed=42 | pid=33 | Acc=0.5667 | F1=0.3407
Running Mean | Seed=42 | pid=34 | Acc=0.5806 | F1=0.3297
Running Mean | Seed=42 | pid=35 | Acc=0.5799 | F1=0.3299
Running Mean | Seed=42 | pid=36 | Acc=0.5825 | F1=0.3320
Running Mean | Seed=42 | pid=37 | Acc=0.5784 | F1=0.3383
Running Mean | Seed=42 | pid=38 | Acc=0.5746 | F1=0.3413
Running Mean | Seed=42 | pid=39 | Acc=0.5679 | F1=0.3388
Running Mean | Seed=42 | pid=40 | Acc=0.5676 | F1=0.3386
Running Mean | Seed=43 | pid=1 | Acc=0.5616 | F1=0.4193
Running Mean | Seed=43 | pid=2 | Acc=0.5616 | F1=0.4443
Running Mean | Seed=43 | pid=3 | Acc=0.5430 | F1=0.4552
Running Mean | Seed=43 | pid=4 | Acc=0.5477 | F1=0.3837
Running Mean | Seed=43 | pid=5 | Acc=0.5282 | F1=0.3408
Running Mean | Seed=43 | pid=6 | Acc=0.5338 | F1=0.3400
Running Mean | Seed=43 | pid=8 | Acc=0.5298 | F1=0.3361
Running Mean | Seed=43 | pid=9 | Acc=0.5199 | F1=0.3402
Running Mean | Seed=43 | pid=10 | Acc=0.5122 | F1=0.3212
Running Mean | Seed=43 | pid=11 | Acc=0.5005 | F1=0.3171
Running Mean | Seed=43 | pid=12 | Acc=0.5111 | F1=0.3387
Running Mean | Seed=43 | pid=14 | Acc=0.5245 | F1=0.3603
Running Mean | Seed=43 | pid=15 | Acc=0.5274 | F1=0.3712
Running Mean | Seed=43 | pid=16 | Acc=0.5298 | F1=0.3568
Running Mean | Seed=43 | pid=17 | Acc=0.5356 | F1=0.3699
Running Mean | Seed=43 | pid=18 | Acc=0.5373 | F1=0.3678
Running Mean | Seed=43 | pid=19 | Acc=0.5420 | F1=0.3757
Running Mean | Seed=43 | pid=20 | Acc=0.5523 | F1=0.3643
Running Mean | Seed=43 | pid=21 | Acc=0.5557 | F1=0.3645
Running Mean | Seed=43 | pid=22 | Acc=0.5477 | F1=0.3603
Running Mean | Seed=43 | pid=23 | Acc=0.5457 | F1=0.3618
Running Mean | Seed=43 | pid=24 | Acc=0.5439 | F1=0.3632
Running Mean | Seed=43 | pid=25 | Acc=0.5447 | F1=0.3547
Running Mean | Seed=43 | pid=26 | Acc=0.5454 | F1=0.3540
Running Mean | Seed=43 | pid=27 | Acc=0.5505 | F1=0.3616
Running Mean | Seed=43 | pid=28 | Acc=0.5530 | F1=0.3542
Running Mean | Seed=43 | pid=29 | Acc=0.5533 | F1=0.3473
Running Mean | Seed=43 | pid=31 | Acc=0.5596 | F1=0.3578
Running Mean | Seed=43 | pid=32 | Acc=0.5616 | F1=0.3513
Running Mean | Seed=43 | pid=33 | Acc=0.5579 | F1=0.3452
Running Mean | Seed=43 | pid=34 | Acc=0.5634 | F1=0.3395
Running Mean | Seed=43 | pid=35 | Acc=0.5633 | F1=0.3342
Running Mean | Seed=43 | pid=36 | Acc=0.5632 | F1=0.3343
Running Mean | Seed=43 | pid=37 | Acc=0.5616 | F1=0.3385
Running Mean | Seed=43 | pid=38 | Acc=0.5616 | F1=0.3408
Running Mean | Seed=43 | pid=39 | Acc=0.5631 | F1=0.3461
Running Mean | Seed=43 | pid=40 | Acc=0.5646 | F1=0.3491
Running Mean | Seed=111 | pid=1 | Acc=0.5986 | F1=0.4232
Running Mean | Seed=111 | pid=2 | Acc=0.5616 | F1=0.4020
Running Mean | Seed=111 | pid=3 | Acc=0.5122 | F1=0.3678
Running Mean | Seed=111 | pid=4 | Acc=0.5153 | F1=0.3340
Running Mean | Seed=111 | pid=5 | Acc=0.5171 | F1=0.3138
Running Mean | Seed=111 | pid=6 | Acc=0.5184 | F1=0.3161
Running Mean | Seed=111 | pid=8 | Acc=0.5192 | F1=0.3178
Running Mean | Seed=111 | pid=9 | Acc=0.5060 | F1=0.3155
Running Mean | Seed=111 | pid=10 | Acc=0.5039 | F1=0.3156
Running Mean | Seed=111 | pid=11 | Acc=0.5023 | F1=0.3073
Running Mean | Seed=111 | pid=12 | Acc=0.5111 | F1=0.3238
