The Number of entries of High Arousal: 114 & Low Arousal: 219
The Number of entries of High Valence: 202 & Low Valence: 131
The Number of entries of Positive Task: 148 & Negative Task: 185
Running Mean | Seed=42 | pid=1 | Acc=0.8889 | F1=0.8889
Running Mean | Seed=42 | pid=2 | Acc=0.7778 | F1=0.7778
Running Mean | Seed=42 | pid=3 | Acc=0.7778 | F1=0.7685
Running Mean | Seed=42 | pid=4 | Acc=0.7500 | F1=0.7192
Running Mean | Seed=42 | pid=5 | Acc=0.7556 | F1=0.7254
Running Mean | Seed=42 | pid=6 | Acc=0.7593 | F1=0.7295
Running Mean | Seed=42 | pid=8 | Acc=0.7937 | F1=0.7681
Running Mean | Seed=42 | pid=9 | Acc=0.8056 | F1=0.7793
Running Mean | Seed=42 | pid=10 | Acc=0.8025 | F1=0.7816
Running Mean | Seed=42 | pid=11 | Acc=0.8111 | F1=0.7891
Running Mean | Seed=42 | pid=12 | Acc=0.8182 | F1=0.7982
Running Mean | Seed=42 | pid=14 | Acc=0.8241 | F1=0.8031
Running Mean | Seed=42 | pid=15 | Acc=0.8376 | F1=0.8183
Running Mean | Seed=42 | pid=16 | Acc=0.8413 | F1=0.8210
Running Mean | Seed=42 | pid=17 | Acc=0.8519 | F1=0.8330
Running Mean | Seed=42 | pid=18 | Acc=0.8542 | F1=0.8345
Running Mean | Seed=42 | pid=19 | Acc=0.8562 | F1=0.8377
Running Mean | Seed=42 | pid=20 | Acc=0.8580 | F1=0.8388
Running Mean | Seed=42 | pid=21 | Acc=0.8480 | F1=0.8247
Running Mean | Seed=42 | pid=22 | Acc=0.8500 | F1=0.8263
Running Mean | Seed=42 | pid=23 | Acc=0.8466 | F1=0.8251
Running Mean | Seed=42 | pid=24 | Acc=0.8535 | F1=0.8330
Running Mean | Seed=42 | pid=25 | Acc=0.8551 | F1=0.8341
Running Mean | Seed=42 | pid=26 | Acc=0.8565 | F1=0.8363
Running Mean | Seed=42 | pid=27 | Acc=0.8533 | F1=0.8329
Running Mean | Seed=42 | pid=28 | Acc=0.8504 | F1=0.8297
Running Mean | Seed=42 | pid=29 | Acc=0.8560 | F1=0.8360
Running Mean | Seed=42 | pid=31 | Acc=0.8611 | F1=0.8419
Running Mean | Seed=42 | pid=32 | Acc=0.8621 | F1=0.8424
Running Mean | Seed=42 | pid=33 | Acc=0.8667 | F1=0.8476
Running Mean | Seed=42 | pid=34 | Acc=0.8674 | F1=0.8480
Running Mean | Seed=42 | pid=35 | Acc=0.8715 | F1=0.8527
Running Mean | Seed=42 | pid=36 | Acc=0.8721 | F1=0.8528
Running Mean | Seed=42 | pid=37 | Acc=0.8725 | F1=0.8530
Running Mean | Seed=42 | pid=38 | Acc=0.8730 | F1=0.8531
Running Mean | Seed=42 | pid=39 | Acc=0.8735 | F1=0.8541
Running Mean | Seed=42 | pid=40 | Acc=0.8739 | F1=0.8542
Running Mean | Seed=43 | pid=1 | Acc=0.8814 | F1=0.8715
Running Mean | Seed=43 | pid=2 | Acc=0.8536 | F1=0.8493
Running Mean | Seed=43 | pid=3 | Acc=0.8443 | F1=0.8336
Running Mean | Seed=43 | pid=4 | Acc=0.8258 | F1=0.8034
Running Mean | Seed=43 | pid=5 | Acc=0.8258 | F1=0.8031
Running Mean | Seed=43 | pid=6 | Acc=0.8258 | F1=0.8029
Running Mean | Seed=43 | pid=8 | Acc=0.8417 | F1=0.8207
Running Mean | Seed=43 | pid=9 | Acc=0.8397 | F1=0.8131
Running Mean | Seed=43 | pid=10 | Acc=0.8320 | F1=0.8073
Running Mean | Seed=43 | pid=11 | Acc=0.8369 | F1=0.8121
Running Mean | Seed=43 | pid=12 | Acc=0.8460 | F1=0.8226
Running Mean | Seed=43 | pid=14 | Acc=0.8490 | F1=0.8253
Running Mean | Seed=43 | pid=15 | Acc=0.8557 | F1=0.8332
Running Mean | Seed=43 | pid=16 | Acc=0.8536 | F1=0.8309
Running Mean | Seed=43 | pid=17 | Acc=0.8592 | F1=0.8373
Running Mean | Seed=43 | pid=18 | Acc=0.8605 | F1=0.8385
Running Mean | Seed=43 | pid=19 | Acc=0.8618 | F1=0.8404
Running Mean | Seed=43 | pid=20 | Acc=0.8629 | F1=0.8413
Running Mean | Seed=43 | pid=21 | Acc=0.8580 | F1=0.8345
Running Mean | Seed=43 | pid=22 | Acc=0.8592 | F1=0.8356
Running Mean | Seed=43 | pid=23 | Acc=0.8629 | F1=0.8399
Running Mean | Seed=43 | pid=24 | Acc=0.8662 | F1=0.8439
Running Mean | Seed=43 | pid=25 | Acc=0.8669 | F1=0.8444
Running Mean | Seed=43 | pid=26 | Acc=0.8652 | F1=0.8437
Running Mean | Seed=43 | pid=27 | Acc=0.8636 | F1=0.8420
Running Mean | Seed=43 | pid=28 | Acc=0.8622 | F1=0.8405
Running Mean | Seed=43 | pid=29 | Acc=0.8629 | F1=0.8410
Running Mean | Seed=43 | pid=31 | Acc=0.8655 | F1=0.8441
Running Mean | Seed=43 | pid=32 | Acc=0.8661 | F1=0.8445
Running Mean | Seed=43 | pid=33 | Acc=0.8684 | F1=0.8473
Running Mean | Seed=43 | pid=34 | Acc=0.8688 | F1=0.8475
Running Mean | Seed=43 | pid=35 | Acc=0.8710 | F1=0.8500
Running Mean | Seed=43 | pid=36 | Acc=0.8713 | F1=0.8502
Running Mean | Seed=43 | pid=37 | Acc=0.8716 | F1=0.8504
Running Mean | Seed=43 | pid=38 | Acc=0.8719 | F1=0.8505
Running Mean | Seed=43 | pid=39 | Acc=0.8721 | F1=0.8511
Running Mean | Seed=43 | pid=40 | Acc=0.8724 | F1=0.8512
Running Mean | Seed=111 | pid=1 | Acc=0.8779 | F1=0.8638
Running Mean | Seed=111 | pid=2 | Acc=0.8594 | F1=0.8490
Running Mean | Seed=111 | pid=3 | Acc=0.8532 | F1=0.8385
Running Mean | Seed=111 | pid=4 | Acc=0.8408 | F1=0.8183
Running Mean | Seed=111 | pid=5 | Acc=0.8408 | F1=0.8182
Running Mean | Seed=111 | pid=6 | Acc=0.8408 | F1=0.8180
Running Mean | Seed=111 | pid=8 | Acc=0.8514 | F1=0.8299
Running Mean | Seed=111 | pid=9 | Acc=0.8547 | F1=0.8328
Running Mean | Seed=111 | pid=10 | Acc=0.8532 | F1=0.8329
Running Mean | Seed=111 | pid=11 | Acc=0.8557 | F1=0.8350
Running Mean | Seed=111 | pid=12 | Acc=0.8577 | F1=0.8376
Running Mean | Seed=111 | pid=14 | Acc=0.8594 | F1=0.8389
Running Mean | Seed=111 | pid=15 | Acc=0.8636 | F1=0.8436
Running Mean | Seed=111 | pid=16 | Acc=0.8620 | F1=0.8418
Running Mean | Seed=111 | pid=17 | Acc=0.8655 | F1=0.8457
Running Mean | Seed=111 | pid=18 | Acc=0.8663 | F1=0.8462
Running Mean | Seed=111 | pid=19 | Acc=0.8670 | F1=0.8472
Running Mean | Seed=111 | pid=20 | Acc=0.8676 | F1=0.8475
Running Mean | Seed=111 | pid=21 | Acc=0.8642 | F1=0.8428
Running Mean | Seed=111 | pid=22 | Acc=0.8649 | F1=0.8433
Running Mean | Seed=111 | pid=23 | Acc=0.8673 | F1=0.8461
Running Mean | Seed=111 | pid=24 | Acc=0.8678 | F1=0.8469
Running Mean | Seed=111 | pid=25 | Acc=0.8666 | F1=0.8456
Running Mean | Seed=111 | pid=26 | Acc=0.8655 | F1=0.8451
Running Mean | Seed=111 | pid=27 | Acc=0.8645 | F1=0.8440
Running Mean | Seed=111 | pid=28 | Acc=0.8636 | F1=0.8430
Running Mean | Seed=111 | pid=29 | Acc=0.8655 | F1=0.8451
Running Mean | Seed=111 | pid=31 | Acc=0.8673 | F1=0.8471
Running Mean | Seed=111 | pid=32 | Acc=0.8677 | F1=0.8473
Running Mean | Seed=111 | pid=33 | Acc=0.8692 | F1=0.8491
Running Mean | Seed=111 | pid=34 | Acc=0.8695 | F1=0.8493
Running Mean | Seed=111 | pid=35 | Acc=0.8709 | F1=0.8509
Running Mean | Seed=111 | pid=36 | Acc=0.8711 | F1=0.8509
Running Mean | Seed=111 | pid=37 | Acc=0.8724 | F1=0.8524
Running Mean | Seed=111 | pid=38 | Acc=0.8726 | F1=0.8524
Running Mean | Seed=111 | pid=39 | Acc=0.8727 | F1=0.8527
Running Mean | Seed=111 | pid=40 | Acc=0.8729 | F1=0.8528
Seed-wise mean results:
         seed              acc               f1
0          42         0.873874         0.854161
1          43         0.870871         0.848263
2         111         0.873874         0.855834
3  Mean ± Std  0.8729 ± 0.0017  0.8528 ± 0.0040
Saved LOSO predictions to: output/MLP-EDA-STIMULUS-LABEL-SIMPLE-predictions.npz
