The Number of entries of High Arousal: 114 & Low Arousal: 219
The Number of entries of High Valence: 202 & Low Valence: 131
The Number of entries of Positive Task: 148 & Negative Task: 185
Running Mean | Seed=42 | pid=1 | Acc=0.4444 | F1=0.2857
Running Mean | Seed=42 | pid=2 | Acc=0.6111 | F1=0.4762
Running Mean | Seed=42 | pid=3 | Acc=0.5556 | F1=0.4127
Running Mean | Seed=42 | pid=4 | Acc=0.5278 | F1=0.4206
Running Mean | Seed=42 | pid=5 | Acc=0.5556 | F1=0.4820
Running Mean | Seed=42 | pid=6 | Acc=0.5185 | F1=0.4683
Running Mean | Seed=42 | pid=8 | Acc=0.5238 | F1=0.4871
Running Mean | Seed=42 | pid=9 | Acc=0.5000 | F1=0.4575
Running Mean | Seed=42 | pid=10 | Acc=0.5185 | F1=0.4875
Running Mean | Seed=42 | pid=11 | Acc=0.4778 | F1=0.4587
Running Mean | Seed=42 | pid=12 | Acc=0.4747 | F1=0.4666
Running Mean | Seed=42 | pid=14 | Acc=0.5000 | F1=0.4991
Running Mean | Seed=42 | pid=15 | Acc=0.5128 | F1=0.5223
Running Mean | Seed=42 | pid=16 | Acc=0.5238 | F1=0.5399
Running Mean | Seed=42 | pid=17 | Acc=0.5259 | F1=0.5439
Running Mean | Seed=42 | pid=18 | Acc=0.5278 | F1=0.5474
Running Mean | Seed=42 | pid=19 | Acc=0.5294 | F1=0.5505
Running Mean | Seed=42 | pid=20 | Acc=0.5247 | F1=0.5541
Running Mean | Seed=42 | pid=21 | Acc=0.5322 | F1=0.5460
Running Mean | Seed=42 | pid=22 | Acc=0.5389 | F1=0.5473
Running Mean | Seed=42 | pid=23 | Acc=0.5344 | F1=0.5472
Running Mean | Seed=42 | pid=24 | Acc=0.5354 | F1=0.5375
Running Mean | Seed=42 | pid=25 | Acc=0.5314 | F1=0.5265
Running Mean | Seed=42 | pid=26 | Acc=0.5324 | F1=0.5254
Running Mean | Seed=42 | pid=27 | Acc=0.5378 | F1=0.5273
Running Mean | Seed=42 | pid=28 | Acc=0.5385 | F1=0.5262
Running Mean | Seed=42 | pid=29 | Acc=0.5391 | F1=0.5314
Running Mean | Seed=42 | pid=31 | Acc=0.5397 | F1=0.5380
Running Mean | Seed=42 | pid=32 | Acc=0.5402 | F1=0.5309
Running Mean | Seed=42 | pid=33 | Acc=0.5407 | F1=0.5243
Running Mean | Seed=42 | pid=34 | Acc=0.5412 | F1=0.5268
Running Mean | Seed=42 | pid=35 | Acc=0.5347 | F1=0.5103
Running Mean | Seed=42 | pid=36 | Acc=0.5354 | F1=0.5049
Running Mean | Seed=42 | pid=37 | Acc=0.5425 | F1=0.5136
Running Mean | Seed=42 | pid=38 | Acc=0.5460 | F1=0.5180
Running Mean | Seed=42 | pid=39 | Acc=0.5401 | F1=0.5147
Running Mean | Seed=42 | pid=40 | Acc=0.5375 | F1=0.5085
Running Mean | Seed=43 | pid=1 | Acc=0.6021 | F1=0.4543
Running Mean | Seed=43 | pid=2 | Acc=0.6299 | F1=0.5209
Running Mean | Seed=43 | pid=3 | Acc=0.5836 | F1=0.4797
Running Mean | Seed=43 | pid=4 | Acc=0.5604 | F1=0.4789
Running Mean | Seed=43 | pid=5 | Acc=0.5688 | F1=0.5067
Running Mean | Seed=43 | pid=6 | Acc=0.5558 | F1=0.5016
Running Mean | Seed=43 | pid=8 | Acc=0.5545 | F1=0.5092
Running Mean | Seed=43 | pid=9 | Acc=0.5465 | F1=0.5051
Running Mean | Seed=43 | pid=10 | Acc=0.5527 | F1=0.5176
Running Mean | Seed=43 | pid=11 | Acc=0.5299 | F1=0.5013
Running Mean | Seed=43 | pid=12 | Acc=0.5263 | F1=0.5036
Running Mean | Seed=43 | pid=14 | Acc=0.5373 | F1=0.5185
Running Mean | Seed=43 | pid=15 | Acc=0.5337 | F1=0.5219
Running Mean | Seed=43 | pid=16 | Acc=0.5386 | F1=0.5302
Running Mean | Seed=43 | pid=17 | Acc=0.5391 | F1=0.5318
Running Mean | Seed=43 | pid=18 | Acc=0.5361 | F1=0.5284
Running Mean | Seed=43 | pid=19 | Acc=0.5400 | F1=0.5336
Running Mean | Seed=43 | pid=20 | Acc=0.5342 | F1=0.5320
Running Mean | Seed=43 | pid=21 | Acc=0.5378 | F1=0.5279
Running Mean | Seed=43 | pid=22 | Acc=0.5438 | F1=0.5309
Running Mean | Seed=43 | pid=23 | Acc=0.5386 | F1=0.5273
Running Mean | Seed=43 | pid=24 | Acc=0.5364 | F1=0.5213
Running Mean | Seed=43 | pid=25 | Acc=0.5321 | F1=0.5097
Running Mean | Seed=43 | pid=26 | Acc=0.5350 | F1=0.5110
Running Mean | Seed=43 | pid=27 | Acc=0.5354 | F1=0.5107
Running Mean | Seed=43 | pid=28 | Acc=0.5359 | F1=0.5105
Running Mean | Seed=43 | pid=29 | Acc=0.5342 | F1=0.5124
Running Mean | Seed=43 | pid=31 | Acc=0.5327 | F1=0.5141
Running Mean | Seed=43 | pid=32 | Acc=0.5312 | F1=0.5101
Running Mean | Seed=43 | pid=33 | Acc=0.5317 | F1=0.5071
Running Mean | Seed=43 | pid=34 | Acc=0.5322 | F1=0.5087
Running Mean | Seed=43 | pid=35 | Acc=0.5292 | F1=0.5007
Running Mean | Seed=43 | pid=36 | Acc=0.5280 | F1=0.4932
Running Mean | Seed=43 | pid=37 | Acc=0.5286 | F1=0.4936
Running Mean | Seed=43 | pid=38 | Acc=0.5275 | F1=0.4955
Running Mean | Seed=43 | pid=39 | Acc=0.5265 | F1=0.4950
Running Mean | Seed=43 | pid=40 | Acc=0.5240 | F1=0.4939
Running Mean | Seed=111 | pid=1 | Acc=0.5716 | F1=0.4626
Running Mean | Seed=111 | pid=2 | Acc=0.5901 | F1=0.5070
Running Mean | Seed=111 | pid=3 | Acc=0.5592 | F1=0.4478
Running Mean | Seed=111 | pid=4 | Acc=0.5531 | F1=0.4681
Running Mean | Seed=111 | pid=5 | Acc=0.5493 | F1=0.4804
Running Mean | Seed=111 | pid=6 | Acc=0.5407 | F1=0.4799
Running Mean | Seed=111 | pid=8 | Acc=0.5398 | F1=0.4822
Running Mean | Seed=111 | pid=9 | Acc=0.5253 | F1=0.4631
Running Mean | Seed=111 | pid=10 | Acc=0.5304 | F1=0.4729
Running Mean | Seed=111 | pid=11 | Acc=0.5160 | F1=0.4652
Running Mean | Seed=111 | pid=12 | Acc=0.5143 | F1=0.4694
Running Mean | Seed=111 | pid=14 | Acc=0.5253 | F1=0.4836
Running Mean | Seed=111 | pid=15 | Acc=0.5231 | F1=0.4875
Running Mean | Seed=111 | pid=16 | Acc=0.5266 | F1=0.4945
Running Mean | Seed=111 | pid=17 | Acc=0.5222 | F1=0.4946
Running Mean | Seed=111 | pid=18 | Acc=0.5253 | F1=0.4994
Running Mean | Seed=111 | pid=19 | Acc=0.5258 | F1=0.5012
Running Mean | Seed=111 | pid=20 | Acc=0.5263 | F1=0.5049
Running Mean | Seed=111 | pid=21 | Acc=0.5267 | F1=0.5015
Running Mean | Seed=111 | pid=22 | Acc=0.5308 | F1=0.5054
Running Mean | Seed=111 | pid=23 | Acc=0.5292 | F1=0.5056
Running Mean | Seed=111 | pid=24 | Acc=0.5295 | F1=0.5027
Running Mean | Seed=111 | pid=25 | Acc=0.5281 | F1=0.4993
Running Mean | Seed=111 | pid=26 | Acc=0.5284 | F1=0.4991
Running Mean | Seed=111 | pid=27 | Acc=0.5271 | F1=0.4961
Running Mean | Seed=111 | pid=28 | Acc=0.5274 | F1=0.4961
Running Mean | Seed=111 | pid=29 | Acc=0.5304 | F1=0.5008
Running Mean | Seed=111 | pid=31 | Acc=0.5292 | F1=0.5020
Running Mean | Seed=111 | pid=32 | Acc=0.5294 | F1=0.4998
Running Mean | Seed=111 | pid=33 | Acc=0.5296 | F1=0.4979
Running Mean | Seed=111 | pid=34 | Acc=0.5310 | F1=0.5002
Running Mean | Seed=111 | pid=35 | Acc=0.5287 | F1=0.4949
Running Mean | Seed=111 | pid=36 | Acc=0.5300 | F1=0.4956
Running Mean | Seed=111 | pid=37 | Acc=0.5313 | F1=0.4973
Running Mean | Seed=111 | pid=38 | Acc=0.5303 | F1=0.4977
Running Mean | Seed=111 | pid=39 | Acc=0.5273 | F1=0.4951
Running Mean | Seed=111 | pid=40 | Acc=0.5245 | F1=0.4926
Seed-wise mean results:
         seed              acc               f1
0          42         0.537538         0.508513
1          43         0.510511         0.479261
2         111         0.525526         0.489962
3  Mean ± Std  0.5245 ± 0.0135  0.4926 ± 0.0148
Saved LOSO predictions to: output/MLP-EDA-VALENCE-SIMPLE-predictions.npz
