The Number of entries of High Arousal: 114 & Low Arousal: 219
The Number of entries of High Valence: 202 & Low Valence: 131
The Number of entries of Positive Task: 148 & Negative Task: 185
Running Mean | Seed=42 | pid=1 | Acc=0.3333 | F1=0.2500
Running Mean | Seed=42 | pid=2 | Acc=0.3333 | F1=0.1250
Running Mean | Seed=42 | pid=3 | Acc=0.4074 | F1=0.3056
Running Mean | Seed=42 | pid=4 | Acc=0.3333 | F1=0.2792
Running Mean | Seed=42 | pid=5 | Acc=0.3778 | F1=0.2233
Running Mean | Seed=42 | pid=6 | Acc=0.3704 | F1=0.2278
Running Mean | Seed=42 | pid=8 | Acc=0.3492 | F1=0.2270
Running Mean | Seed=42 | pid=9 | Acc=0.3750 | F1=0.2611
Running Mean | Seed=42 | pid=10 | Acc=0.3580 | F1=0.2321
Running Mean | Seed=42 | pid=11 | Acc=0.4111 | F1=0.2756
Running Mean | Seed=42 | pid=12 | Acc=0.4444 | F1=0.3232
Running Mean | Seed=42 | pid=14 | Acc=0.4722 | F1=0.3692
Running Mean | Seed=42 | pid=15 | Acc=0.4872 | F1=0.3716
Running Mean | Seed=42 | pid=16 | Acc=0.4683 | F1=0.3450
Running Mean | Seed=42 | pid=17 | Acc=0.4963 | F1=0.3843
Running Mean | Seed=42 | pid=18 | Acc=0.4792 | F1=0.3741
Running Mean | Seed=42 | pid=19 | Acc=0.4837 | F1=0.3913
Running Mean | Seed=42 | pid=20 | Acc=0.5123 | F1=0.3696
Running Mean | Seed=42 | pid=21 | Acc=0.5146 | F1=0.3501
Running Mean | Seed=42 | pid=22 | Acc=0.5278 | F1=0.3326
Running Mean | Seed=42 | pid=23 | Acc=0.5291 | F1=0.3327
Running Mean | Seed=42 | pid=24 | Acc=0.5354 | F1=0.3176
Running Mean | Seed=42 | pid=25 | Acc=0.5459 | F1=0.3327
Running Mean | Seed=42 | pid=26 | Acc=0.5602 | F1=0.3546
Running Mean | Seed=42 | pid=27 | Acc=0.5511 | F1=0.3504
Running Mean | Seed=42 | pid=28 | Acc=0.5470 | F1=0.3369
Running Mean | Seed=42 | pid=29 | Acc=0.5432 | F1=0.3244
Running Mean | Seed=42 | pid=31 | Acc=0.5317 | F1=0.3258
Running Mean | Seed=42 | pid=32 | Acc=0.5287 | F1=0.3146
Running Mean | Seed=42 | pid=33 | Acc=0.5222 | F1=0.3041
Running Mean | Seed=42 | pid=34 | Acc=0.5341 | F1=0.2943
Running Mean | Seed=42 | pid=35 | Acc=0.5278 | F1=0.3007
Running Mean | Seed=42 | pid=36 | Acc=0.5253 | F1=0.3051
