The Number of entries of High Arousal: 114 & Low Arousal: 219
The Number of entries of High Valence: 202 & Low Valence: 131
The Number of entries of Positive Task: 148 & Negative Task: 185
Running Mean | Seed=42 | pid=1 | Acc=0.7778 | F1=0.8000
Running Mean | Seed=42 | pid=2 | Acc=0.7778 | F1=0.8000
Running Mean | Seed=42 | pid=3 | Acc=0.7778 | F1=0.8000
Running Mean | Seed=42 | pid=4 | Acc=0.7500 | F1=0.7667
Running Mean | Seed=42 | pid=5 | Acc=0.7556 | F1=0.7633
Running Mean | Seed=42 | pid=6 | Acc=0.7593 | F1=0.7611
Running Mean | Seed=42 | pid=8 | Acc=0.7778 | F1=0.7748
Running Mean | Seed=42 | pid=9 | Acc=0.8056 | F1=0.8030
Running Mean | Seed=42 | pid=10 | Acc=0.7901 | F1=0.7772
Running Mean | Seed=42 | pid=11 | Acc=0.7778 | F1=0.7662
Running Mean | Seed=42 | pid=12 | Acc=0.7879 | F1=0.7773
Running Mean | Seed=42 | pid=14 | Acc=0.7963 | F1=0.7840
Running Mean | Seed=42 | pid=15 | Acc=0.8034 | F1=0.7896
Running Mean | Seed=42 | pid=16 | Acc=0.8016 | F1=0.7868
Running Mean | Seed=42 | pid=17 | Acc=0.8148 | F1=0.8010
Running Mean | Seed=42 | pid=18 | Acc=0.8194 | F1=0.8065
Running Mean | Seed=42 | pid=19 | Acc=0.8170 | F1=0.8032
Running Mean | Seed=42 | pid=20 | Acc=0.8148 | F1=0.7956
Running Mean | Seed=42 | pid=21 | Acc=0.8187 | F1=0.7988
Running Mean | Seed=42 | pid=22 | Acc=0.8167 | F1=0.7922
Running Mean | Seed=42 | pid=23 | Acc=0.8254 | F1=0.8021
Running Mean | Seed=42 | pid=24 | Acc=0.8182 | F1=0.7916
Running Mean | Seed=42 | pid=25 | Acc=0.8116 | F1=0.7821
Running Mean | Seed=42 | pid=26 | Acc=0.8056 | F1=0.7733
Running Mean | Seed=42 | pid=27 | Acc=0.8044 | F1=0.7723
Running Mean | Seed=42 | pid=28 | Acc=0.8034 | F1=0.7715
Running Mean | Seed=42 | pid=29 | Acc=0.8025 | F1=0.7707
Running Mean | Seed=42 | pid=31 | Acc=0.8095 | F1=0.7789
Running Mean | Seed=42 | pid=32 | Acc=0.8084 | F1=0.7779
Running Mean | Seed=42 | pid=33 | Acc=0.8111 | F1=0.7816
Running Mean | Seed=42 | pid=34 | Acc=0.8136 | F1=0.7840
Running Mean | Seed=42 | pid=35 | Acc=0.8160 | F1=0.7863
Running Mean | Seed=42 | pid=36 | Acc=0.8114 | F1=0.7845
Running Mean | Seed=42 | pid=37 | Acc=0.8137 | F1=0.7867
Running Mean | Seed=42 | pid=38 | Acc=0.8095 | F1=0.7805
Running Mean | Seed=42 | pid=39 | Acc=0.8056 | F1=0.7790
Running Mean | Seed=42 | pid=40 | Acc=0.8018 | F1=0.7776
Running Mean | Seed=43 | pid=1 | Acc=0.6787 | F1=0.7221
Running Mean | Seed=43 | pid=2 | Acc=0.6787 | F1=0.7055
Running Mean | Seed=43 | pid=3 | Acc=0.7157 | F1=0.7333
Running Mean | Seed=43 | pid=4 | Acc=0.7065 | F1=0.7096
Running Mean | Seed=43 | pid=5 | Acc=0.7009 | F1=0.7055
Running Mean | Seed=43 | pid=6 | Acc=0.7157 | F1=0.7152
Running Mean | Seed=43 | pid=8 | Acc=0.7342 | F1=0.7298
Running Mean | Seed=43 | pid=9 | Acc=0.7412 | F1=0.7372
Running Mean | Seed=43 | pid=10 | Acc=0.7404 | F1=0.7355
Running Mean | Seed=43 | pid=11 | Acc=0.7453 | F1=0.7383
Running Mean | Seed=43 | pid=12 | Acc=0.7494 | F1=0.7429
Running Mean | Seed=43 | pid=14 | Acc=0.7574 | F1=0.7491
Running Mean | Seed=43 | pid=15 | Acc=0.7684 | F1=0.7599
Running Mean | Seed=43 | pid=16 | Acc=0.7699 | F1=0.7602
Running Mean | Seed=43 | pid=17 | Acc=0.7787 | F1=0.7687
Running Mean | Seed=43 | pid=18 | Acc=0.7828 | F1=0.7728
Running Mean | Seed=43 | pid=19 | Acc=0.7865 | F1=0.7763
Running Mean | Seed=43 | pid=20 | Acc=0.7836 | F1=0.7750
Running Mean | Seed=43 | pid=21 | Acc=0.7898 | F1=0.7810
Running Mean | Seed=43 | pid=22 | Acc=0.7842 | F1=0.7764
Running Mean | Seed=43 | pid=23 | Acc=0.7898 | F1=0.7817
Running Mean | Seed=43 | pid=24 | Acc=0.7898 | F1=0.7809
Running Mean | Seed=43 | pid=25 | Acc=0.7850 | F1=0.7711
Running Mean | Seed=43 | pid=26 | Acc=0.7852 | F1=0.7708
Running Mean | Seed=43 | pid=27 | Acc=0.7876 | F1=0.7727
Running Mean | Seed=43 | pid=28 | Acc=0.7877 | F1=0.7723
Running Mean | Seed=43 | pid=29 | Acc=0.7877 | F1=0.7720
Running Mean | Seed=43 | pid=31 | Acc=0.7898 | F1=0.7742
Running Mean | Seed=43 | pid=32 | Acc=0.7898 | F1=0.7738
Running Mean | Seed=43 | pid=33 | Acc=0.7916 | F1=0.7758
Running Mean | Seed=43 | pid=34 | Acc=0.7934 | F1=0.7772
Running Mean | Seed=43 | pid=35 | Acc=0.7915 | F1=0.7764
Running Mean | Seed=43 | pid=36 | Acc=0.7898 | F1=0.7757
Running Mean | Seed=43 | pid=37 | Acc=0.7898 | F1=0.7761
Running Mean | Seed=43 | pid=38 | Acc=0.7882 | F1=0.7732
Running Mean | Seed=43 | pid=39 | Acc=0.7867 | F1=0.7726
Running Mean | Seed=43 | pid=40 | Acc=0.7853 | F1=0.7720
Running Mean | Seed=111 | pid=1 | Acc=0.7457 | F1=0.7571
Running Mean | Seed=111 | pid=2 | Acc=0.7272 | F1=0.7359
Running Mean | Seed=111 | pid=3 | Acc=0.7457 | F1=0.7511
Running Mean | Seed=111 | pid=4 | Acc=0.7365 | F1=0.7336
Running Mean | Seed=111 | pid=5 | Acc=0.7309 | F1=0.7343
Running Mean | Seed=111 | pid=6 | Acc=0.7334 | F1=0.7347
Running Mean | Seed=111 | pid=8 | Acc=0.7405 | F1=0.7390
Running Mean | Seed=111 | pid=9 | Acc=0.7457 | F1=0.7443
Running Mean | Seed=111 | pid=10 | Acc=0.7499 | F1=0.7466
Running Mean | Seed=111 | pid=11 | Acc=0.7494 | F1=0.7456
Running Mean | Seed=111 | pid=12 | Acc=0.7558 | F1=0.7515
Running Mean | Seed=111 | pid=14 | Acc=0.7612 | F1=0.7556
Running Mean | Seed=111 | pid=15 | Acc=0.7657 | F1=0.7591
Running Mean | Seed=111 | pid=16 | Acc=0.7643 | F1=0.7575
Running Mean | Seed=111 | pid=17 | Acc=0.7704 | F1=0.7635
Running Mean | Seed=111 | pid=18 | Acc=0.7735 | F1=0.7665
Running Mean | Seed=111 | pid=19 | Acc=0.7762 | F1=0.7691
Running Mean | Seed=111 | pid=20 | Acc=0.7766 | F1=0.7698
Running Mean | Seed=111 | pid=21 | Acc=0.7769 | F1=0.7681
Running Mean | Seed=111 | pid=22 | Acc=0.7772 | F1=0.7687
Running Mean | Seed=111 | pid=23 | Acc=0.7810 | F1=0.7725
Running Mean | Seed=111 | pid=24 | Acc=0.7777 | F1=0.7684
Running Mean | Seed=111 | pid=25 | Acc=0.7747 | F1=0.7646
Running Mean | Seed=111 | pid=26 | Acc=0.7735 | F1=0.7634
Running Mean | Seed=111 | pid=27 | Acc=0.7754 | F1=0.7649
Running Mean | Seed=111 | pid=28 | Acc=0.7728 | F1=0.7595
Running Mean | Seed=111 | pid=29 | Acc=0.7718 | F1=0.7587
Running Mean | Seed=111 | pid=31 | Acc=0.7748 | F1=0.7619
Running Mean | Seed=111 | pid=32 | Acc=0.7751 | F1=0.7620
Running Mean | Seed=111 | pid=33 | Acc=0.7766 | F1=0.7636
Running Mean | Seed=111 | pid=34 | Acc=0.7780 | F1=0.7648
Running Mean | Seed=111 | pid=35 | Acc=0.7782 | F1=0.7653
Running Mean | Seed=111 | pid=36 | Acc=0.7772 | F1=0.7651
Running Mean | Seed=111 | pid=37 | Acc=0.7773 | F1=0.7656
Running Mean | Seed=111 | pid=38 | Acc=0.7775 | F1=0.7655
Running Mean | Seed=111 | pid=39 | Acc=0.7766 | F1=0.7653
Running Mean | Seed=111 | pid=40 | Acc=0.7758 | F1=0.7651
Seed-wise mean results:
         seed              acc               f1
0          42         0.801802          0.77763
1          43         0.768769         0.766448
2         111         0.756757         0.751168
3  Mean ± Std  0.7758 ± 0.0233  0.7651 ± 0.0133
Saved LOSO predictions to: output/MLP-PPG-STIMULUS-LABEL-SIMPLE-predictions.npz
