The Number of entries of High Arousal: 114 & Low Arousal: 219
The Number of entries of High Valence: 202 & Low Valence: 131
The Number of entries of Positive Task: 148 & Negative Task: 185
Running Mean | Seed=42 | pid=1 | Acc=0.5556 | F1=0.5000
Running Mean | Seed=42 | pid=2 | Acc=0.5000 | F1=0.3929
Running Mean | Seed=42 | pid=3 | Acc=0.5556 | F1=0.2619
Running Mean | Seed=42 | pid=4 | Acc=0.5000 | F1=0.3214
Running Mean | Seed=42 | pid=5 | Acc=0.5778 | F1=0.4418
Running Mean | Seed=42 | pid=6 | Acc=0.5556 | F1=0.4590
Running Mean | Seed=42 | pid=8 | Acc=0.5397 | F1=0.4570
Running Mean | Seed=42 | pid=9 | Acc=0.5139 | F1=0.4311
Running Mean | Seed=42 | pid=10 | Acc=0.5309 | F1=0.4687
Running Mean | Seed=42 | pid=11 | Acc=0.5667 | F1=0.5159
Running Mean | Seed=42 | pid=12 | Acc=0.5354 | F1=0.4892
Running Mean | Seed=42 | pid=14 | Acc=0.5370 | F1=0.4984
Running Mean | Seed=42 | pid=15 | Acc=0.5385 | F1=0.5150
Running Mean | Seed=42 | pid=16 | Acc=0.5635 | F1=0.5417
Running Mean | Seed=42 | pid=17 | Acc=0.5704 | F1=0.5437
Running Mean | Seed=42 | pid=18 | Acc=0.5694 | F1=0.5514
Running Mean | Seed=42 | pid=19 | Acc=0.5621 | F1=0.5552
Running Mean | Seed=42 | pid=20 | Acc=0.5679 | F1=0.5688
Running Mean | Seed=42 | pid=21 | Acc=0.5673 | F1=0.5564
Running Mean | Seed=42 | pid=22 | Acc=0.5556 | F1=0.5536
Running Mean | Seed=42 | pid=23 | Acc=0.5556 | F1=0.5590
Running Mean | Seed=42 | pid=24 | Acc=0.5606 | F1=0.5517
Running Mean | Seed=42 | pid=25 | Acc=0.5604 | F1=0.5495
Running Mean | Seed=42 | pid=26 | Acc=0.5556 | F1=0.5451
Running Mean | Seed=42 | pid=27 | Acc=0.5511 | F1=0.5411
Running Mean | Seed=42 | pid=28 | Acc=0.5598 | F1=0.5459
Running Mean | Seed=42 | pid=29 | Acc=0.5638 | F1=0.5526
Running Mean | Seed=42 | pid=31 | Acc=0.5635 | F1=0.5584
Running Mean | Seed=42 | pid=32 | Acc=0.5556 | F1=0.5478
Running Mean | Seed=42 | pid=33 | Acc=0.5593 | F1=0.5517
Running Mean | Seed=42 | pid=34 | Acc=0.5448 | F1=0.5404
Running Mean | Seed=42 | pid=35 | Acc=0.5486 | F1=0.5443
Running Mean | Seed=42 | pid=36 | Acc=0.5455 | F1=0.5444
Running Mean | Seed=42 | pid=37 | Acc=0.5523 | F1=0.5519
Running Mean | Seed=42 | pid=38 | Acc=0.5556 | F1=0.5552
Running Mean | Seed=42 | pid=39 | Acc=0.5556 | F1=0.5583
Running Mean | Seed=42 | pid=40 | Acc=0.5586 | F1=0.5586
Running Mean | Seed=43 | pid=1 | Acc=0.6126 | F1=0.6126
Running Mean | Seed=43 | pid=2 | Acc=0.5571 | F1=0.5823
Running Mean | Seed=43 | pid=3 | Acc=0.5756 | F1=0.5480
Running Mean | Seed=43 | pid=4 | Acc=0.5432 | F1=0.5433
Running Mean | Seed=43 | pid=5 | Acc=0.5571 | F1=0.5572
Running Mean | Seed=43 | pid=6 | Acc=0.5478 | F1=0.5347
Running Mean | Seed=43 | pid=8 | Acc=0.5253 | F1=0.4982
Running Mean | Seed=43 | pid=9 | Acc=0.5154 | F1=0.4865
Running Mean | Seed=43 | pid=10 | Acc=0.5077 | F1=0.4857
Running Mean | Seed=43 | pid=11 | Acc=0.5293 | F1=0.5121
Running Mean | Seed=43 | pid=12 | Acc=0.5167 | F1=0.5010
Running Mean | Seed=43 | pid=14 | Acc=0.5246 | F1=0.5129
Running Mean | Seed=43 | pid=15 | Acc=0.5229 | F1=0.5186
Running Mean | Seed=43 | pid=16 | Acc=0.5372 | F1=0.5332
Running Mean | Seed=43 | pid=17 | Acc=0.5422 | F1=0.5353
Running Mean | Seed=43 | pid=18 | Acc=0.5536 | F1=0.5477
Running Mean | Seed=43 | pid=19 | Acc=0.5505 | F1=0.5480
Running Mean | Seed=43 | pid=20 | Acc=0.5540 | F1=0.5553
Running Mean | Seed=43 | pid=21 | Acc=0.5541 | F1=0.5495
Running Mean | Seed=43 | pid=22 | Acc=0.5487 | F1=0.5485
Running Mean | Seed=43 | pid=23 | Acc=0.5465 | F1=0.5487
Running Mean | Seed=43 | pid=24 | Acc=0.5545 | F1=0.5546
Running Mean | Seed=43 | pid=25 | Acc=0.5571 | F1=0.5572
Running Mean | Seed=43 | pid=26 | Acc=0.5571 | F1=0.5581
Running Mean | Seed=43 | pid=27 | Acc=0.5548 | F1=0.5578
Running Mean | Seed=43 | pid=28 | Acc=0.5549 | F1=0.5567
Running Mean | Seed=43 | pid=29 | Acc=0.5571 | F1=0.5599
Running Mean | Seed=43 | pid=31 | Acc=0.5590 | F1=0.5642
Running Mean | Seed=43 | pid=32 | Acc=0.5590 | F1=0.5630
Running Mean | Seed=43 | pid=33 | Acc=0.5626 | F1=0.5669
Running Mean | Seed=43 | pid=34 | Acc=0.5553 | F1=0.5608
Running Mean | Seed=43 | pid=35 | Acc=0.5553 | F1=0.5614
