The Number of entries of High Arousal: 114 & Low Arousal: 219
The Number of entries of High Valence: 202 & Low Valence: 131
The Number of entries of Positive Task: 148 & Negative Task: 185
Running Mean | Seed=42 | pid=1 | Acc=0.5556 | F1=0.0000
Running Mean | Seed=42 | pid=2 | Acc=0.5000 | F1=0.2727
Running Mean | Seed=42 | pid=3 | Acc=0.4815 | F1=0.3636
Running Mean | Seed=42 | pid=4 | Acc=0.5278 | F1=0.2727
Running Mean | Seed=42 | pid=5 | Acc=0.5111 | F1=0.2182
Running Mean | Seed=42 | pid=6 | Acc=0.5185 | F1=0.2374
Running Mean | Seed=42 | pid=8 | Acc=0.5079 | F1=0.2443
Running Mean | Seed=42 | pid=9 | Acc=0.4861 | F1=0.2450
Running Mean | Seed=42 | pid=10 | Acc=0.5062 | F1=0.2622
Running Mean | Seed=42 | pid=11 | Acc=0.4778 | F1=0.2582
Running Mean | Seed=42 | pid=12 | Acc=0.4848 | F1=0.2997
Running Mean | Seed=42 | pid=14 | Acc=0.4815 | F1=0.3202
Running Mean | Seed=42 | pid=15 | Acc=0.4786 | F1=0.3429
Running Mean | Seed=42 | pid=16 | Acc=0.5079 | F1=0.3660
Running Mean | Seed=42 | pid=17 | Acc=0.5185 | F1=0.3949
Running Mean | Seed=42 | pid=18 | Acc=0.5208 | F1=0.3911
Running Mean | Seed=42 | pid=19 | Acc=0.5229 | F1=0.3975
Running Mean | Seed=42 | pid=20 | Acc=0.5432 | F1=0.3754
Running Mean | Seed=42 | pid=21 | Acc=0.5556 | F1=0.3907
Running Mean | Seed=42 | pid=22 | Acc=0.5556 | F1=0.3879
Running Mean | Seed=42 | pid=23 | Acc=0.5397 | F1=0.3800
Running Mean | Seed=42 | pid=24 | Acc=0.5455 | F1=0.3887
Running Mean | Seed=42 | pid=25 | Acc=0.5507 | F1=0.3892
Running Mean | Seed=42 | pid=26 | Acc=0.5463 | F1=0.3915
Running Mean | Seed=42 | pid=27 | Acc=0.5511 | F1=0.4025
Running Mean | Seed=42 | pid=28 | Acc=0.5684 | F1=0.3870
