The Number of entries of High Arousal: 114 & Low Arousal: 219
The Number of entries of High Valence: 202 & Low Valence: 131
The Number of entries of Positive Task: 148 & Negative Task: 185
Running Mean | Seed=42 | pid=1 | Acc=0.7778 | F1=0.8000
Running Mean | Seed=42 | pid=2 | Acc=0.7778 | F1=0.8000
Running Mean | Seed=42 | pid=3 | Acc=0.8148 | F1=0.8296
Running Mean | Seed=42 | pid=4 | Acc=0.7778 | F1=0.7651
Running Mean | Seed=42 | pid=5 | Acc=0.7778 | F1=0.7621
Running Mean | Seed=42 | pid=6 | Acc=0.7778 | F1=0.7601
Running Mean | Seed=42 | pid=8 | Acc=0.8095 | F1=0.7943
Running Mean | Seed=42 | pid=9 | Acc=0.7917 | F1=0.7665
Running Mean | Seed=42 | pid=10 | Acc=0.7901 | F1=0.7702
Running Mean | Seed=42 | pid=11 | Acc=0.8000 | F1=0.7789
Running Mean | Seed=42 | pid=12 | Acc=0.8081 | F1=0.7889
Running Mean | Seed=42 | pid=14 | Acc=0.8148 | F1=0.7946
Running Mean | Seed=42 | pid=15 | Acc=0.8291 | F1=0.8104
Running Mean | Seed=42 | pid=16 | Acc=0.8175 | F1=0.8001
Running Mean | Seed=42 | pid=17 | Acc=0.8222 | F1=0.8060
Running Mean | Seed=42 | pid=18 | Acc=0.8264 | F1=0.8092
Running Mean | Seed=42 | pid=19 | Acc=0.8301 | F1=0.8139
Running Mean | Seed=42 | pid=20 | Acc=0.8210 | F1=0.8057
Running Mean | Seed=42 | pid=21 | Acc=0.8129 | F1=0.7934
Running Mean | Seed=42 | pid=22 | Acc=0.8167 | F1=0.7966
Running Mean | Seed=42 | pid=23 | Acc=0.8201 | F1=0.8010
Running Mean | Seed=42 | pid=24 | Acc=0.8232 | F1=0.8050
Running Mean | Seed=42 | pid=25 | Acc=0.8261 | F1=0.8072
Running Mean | Seed=42 | pid=26 | Acc=0.8241 | F1=0.8069
Running Mean | Seed=42 | pid=27 | Acc=0.8222 | F1=0.8047
Running Mean | Seed=42 | pid=28 | Acc=0.8205 | F1=0.8026
Running Mean | Seed=42 | pid=29 | Acc=0.8230 | F1=0.8058
Running Mean | Seed=42 | pid=31 | Acc=0.8254 | F1=0.8087
Running Mean | Seed=42 | pid=32 | Acc=0.8276 | F1=0.8104
Running Mean | Seed=42 | pid=33 | Acc=0.8333 | F1=0.8167
Running Mean | Seed=42 | pid=34 | Acc=0.8351 | F1=0.8180
Running Mean | Seed=42 | pid=35 | Acc=0.8403 | F1=0.8237
Running Mean | Seed=42 | pid=36 | Acc=0.8418 | F1=0.8247
Running Mean | Seed=42 | pid=37 | Acc=0.8431 | F1=0.8266
Running Mean | Seed=42 | pid=38 | Acc=0.8444 | F1=0.8275
Running Mean | Seed=42 | pid=39 | Acc=0.8457 | F1=0.8292
Running Mean | Seed=42 | pid=40 | Acc=0.8468 | F1=0.8299
Running Mean | Seed=43 | pid=1 | Acc=0.8123 | F1=0.8150
Running Mean | Seed=43 | pid=2 | Acc=0.8123 | F1=0.8150
Running Mean | Seed=43 | pid=3 | Acc=0.8123 | F1=0.8066
Running Mean | Seed=43 | pid=4 | Acc=0.7984 | F1=0.7802
Running Mean | Seed=43 | pid=5 | Acc=0.8012 | F1=0.7821
Running Mean | Seed=43 | pid=6 | Acc=0.8031 | F1=0.7834
Running Mean | Seed=43 | pid=8 | Acc=0.8123 | F1=0.7943
Running Mean | Seed=43 | pid=9 | Acc=0.8123 | F1=0.7937
Running Mean | Seed=43 | pid=10 | Acc=0.8123 | F1=0.7961
Running Mean | Seed=43 | pid=11 | Acc=0.8123 | F1=0.7955
Running Mean | Seed=43 | pid=12 | Acc=0.8174 | F1=0.8013
Running Mean | Seed=43 | pid=14 | Acc=0.8216 | F1=0.8048
Running Mean | Seed=43 | pid=15 | Acc=0.8294 | F1=0.8133
Running Mean | Seed=43 | pid=16 | Acc=0.8282 | F1=0.8116
Running Mean | Seed=43 | pid=17 | Acc=0.8308 | F1=0.8148
Running Mean | Seed=43 | pid=18 | Acc=0.8331 | F1=0.8166
Running Mean | Seed=43 | pid=19 | Acc=0.8352 | F1=0.8191
Running Mean | Seed=43 | pid=20 | Acc=0.8308 | F1=0.8152
Running Mean | Seed=43 | pid=21 | Acc=0.8269 | F1=0.8092
Running Mean | Seed=43 | pid=22 | Acc=0.8290 | F1=0.8109
Running Mean | Seed=43 | pid=23 | Acc=0.8282 | F1=0.8111
Running Mean | Seed=43 | pid=24 | Acc=0.8300 | F1=0.8133
Running Mean | Seed=43 | pid=25 | Acc=0.8316 | F1=0.8146
Running Mean | Seed=43 | pid=26 | Acc=0.8308 | F1=0.8146
Running Mean | Seed=43 | pid=27 | Acc=0.8279 | F1=0.8120
Running Mean | Seed=43 | pid=28 | Acc=0.8273 | F1=0.8111
Running Mean | Seed=43 | pid=29 | Acc=0.8288 | F1=0.8129
Running Mean | Seed=43 | pid=31 | Acc=0.8302 | F1=0.8146
Running Mean | Seed=43 | pid=32 | Acc=0.8315 | F1=0.8156
