The Number of entries of High Arousal: 114 & Low Arousal: 219
The Number of entries of High Valence: 202 & Low Valence: 131
The Number of entries of Positive Task: 148 & Negative Task: 185
Running Mean | Seed=42 | pid=1 | Acc=0.6667 | F1=0.4000
Running Mean | Seed=42 | pid=2 | Acc=0.6667 | F1=0.4857
Running Mean | Seed=42 | pid=3 | Acc=0.5926 | F1=0.4190
Running Mean | Seed=42 | pid=4 | Acc=0.5833 | F1=0.4643
Running Mean | Seed=42 | pid=5 | Acc=0.6222 | F1=0.5314
Running Mean | Seed=42 | pid=6 | Acc=0.5926 | F1=0.5169
Running Mean | Seed=42 | pid=8 | Acc=0.5714 | F1=0.5066
Running Mean | Seed=42 | pid=9 | Acc=0.5417 | F1=0.4745
Running Mean | Seed=42 | pid=10 | Acc=0.5679 | F1=0.5144
Running Mean | Seed=42 | pid=11 | Acc=0.5444 | F1=0.5129
Running Mean | Seed=42 | pid=12 | Acc=0.5253 | F1=0.5118
Running Mean | Seed=42 | pid=14 | Acc=0.5556 | F1=0.5469
Running Mean | Seed=42 | pid=15 | Acc=0.5470 | F1=0.5522
Running Mean | Seed=42 | pid=16 | Acc=0.5476 | F1=0.5637
Running Mean | Seed=42 | pid=17 | Acc=0.5556 | F1=0.5706
Running Mean | Seed=42 | pid=18 | Acc=0.5486 | F1=0.5627
Running Mean | Seed=42 | pid=19 | Acc=0.5621 | F1=0.5786
Running Mean | Seed=42 | pid=20 | Acc=0.5679 | F1=0.5909
Running Mean | Seed=42 | pid=21 | Acc=0.5731 | F1=0.5809
Running Mean | Seed=42 | pid=22 | Acc=0.5778 | F1=0.5804
Running Mean | Seed=42 | pid=23 | Acc=0.5661 | F1=0.5718
Running Mean | Seed=42 | pid=24 | Acc=0.5606 | F1=0.5588
Running Mean | Seed=42 | pid=25 | Acc=0.5604 | F1=0.5563
Running Mean | Seed=42 | pid=26 | Acc=0.5648 | F1=0.5609
Running Mean | Seed=42 | pid=27 | Acc=0.5600 | F1=0.5499
Running Mean | Seed=42 | pid=28 | Acc=0.5598 | F1=0.5518
Running Mean | Seed=42 | pid=29 | Acc=0.5638 | F1=0.5610
Running Mean | Seed=42 | pid=31 | Acc=0.5595 | F1=0.5629
Running Mean | Seed=42 | pid=32 | Acc=0.5594 | F1=0.5550
Running Mean | Seed=42 | pid=33 | Acc=0.5630 | F1=0.5555
Running Mean | Seed=42 | pid=34 | Acc=0.5699 | F1=0.5645
Running Mean | Seed=42 | pid=35 | Acc=0.5660 | F1=0.5558
Running Mean | Seed=42 | pid=36 | Acc=0.5657 | F1=0.5491
Running Mean | Seed=42 | pid=37 | Acc=0.5654 | F1=0.5506
Running Mean | Seed=42 | pid=38 | Acc=0.5619 | F1=0.5504
Running Mean | Seed=42 | pid=39 | Acc=0.5617 | F1=0.5518
Running Mean | Seed=42 | pid=40 | Acc=0.5586 | F1=0.5446
Running Mean | Seed=43 | pid=1 | Acc=0.5571 | F1=0.5223
Running Mean | Seed=43 | pid=2 | Acc=0.5571 | F1=0.5223
Running Mean | Seed=43 | pid=3 | Acc=0.4830 | F1=0.4723
Running Mean | Seed=43 | pid=4 | Acc=0.5015 | F1=0.4973
Running Mean | Seed=43 | pid=5 | Acc=0.5237 | F1=0.5250
Running Mean | Seed=43 | pid=6 | Acc=0.5108 | F1=0.5162
Running Mean | Seed=43 | pid=8 | Acc=0.5174 | F1=0.5171
Running Mean | Seed=43 | pid=9 | Acc=0.5084 | F1=0.5021
Running Mean | Seed=43 | pid=10 | Acc=0.5200 | F1=0.5170
Running Mean | Seed=43 | pid=11 | Acc=0.5015 | F1=0.5025
Running Mean | Seed=43 | pid=12 | Acc=0.5015 | F1=0.5064
Running Mean | Seed=43 | pid=14 | Acc=0.5200 | F1=0.5258
Running Mean | Seed=43 | pid=15 | Acc=0.5271 | F1=0.5370
Running Mean | Seed=43 | pid=16 | Acc=0.5332 | F1=0.5456
Running Mean | Seed=43 | pid=17 | Acc=0.5311 | F1=0.5456
Running Mean | Seed=43 | pid=18 | Acc=0.5362 | F1=0.5512
Running Mean | Seed=43 | pid=19 | Acc=0.5407 | F1=0.5562
Running Mean | Seed=43 | pid=20 | Acc=0.5447 | F1=0.5626
Running Mean | Seed=43 | pid=21 | Acc=0.5512 | F1=0.5649
Running Mean | Seed=43 | pid=22 | Acc=0.5571 | F1=0.5690
Running Mean | Seed=43 | pid=23 | Acc=0.5491 | F1=0.5636
Running Mean | Seed=43 | pid=24 | Acc=0.5444 | F1=0.5560
Running Mean | Seed=43 | pid=25 | Acc=0.5426 | F1=0.5499
Running Mean | Seed=43 | pid=26 | Acc=0.5455 | F1=0.5502
Running Mean | Seed=43 | pid=27 | Acc=0.5482 | F1=0.5505
Running Mean | Seed=43 | pid=28 | Acc=0.5485 | F1=0.5494
Running Mean | Seed=43 | pid=29 | Acc=0.5509 | F1=0.5540
Running Mean | Seed=43 | pid=31 | Acc=0.5491 | F1=0.5549
Running Mean | Seed=43 | pid=32 | Acc=0.5494 | F1=0.5509
Running Mean | Seed=43 | pid=33 | Acc=0.5515 | F1=0.5512
Running Mean | Seed=43 | pid=34 | Acc=0.5517 | F1=0.5529
