The Number of entries of High Arousal: 114 & Low Arousal: 219
The Number of entries of High Valence: 202 & Low Valence: 131
The Number of entries of Positive Task: 148 & Negative Task: 185
Running Mean | Seed=42 | pid=1 | Acc=0.5556 | F1=0.3333
Running Mean | Seed=42 | pid=2 | Acc=0.5000 | F1=0.3095
Running Mean | Seed=42 | pid=3 | Acc=0.5185 | F1=0.4444
Running Mean | Seed=42 | pid=4 | Acc=0.4444 | F1=0.3333
Running Mean | Seed=42 | pid=5 | Acc=0.5333 | F1=0.2667
Running Mean | Seed=42 | pid=6 | Acc=0.5370 | F1=0.2778
Running Mean | Seed=42 | pid=8 | Acc=0.5079 | F1=0.2738
Running Mean | Seed=42 | pid=9 | Acc=0.5139 | F1=0.3021
Running Mean | Seed=42 | pid=10 | Acc=0.4815 | F1=0.2685
Running Mean | Seed=42 | pid=11 | Acc=0.5222 | F1=0.2417
Running Mean | Seed=42 | pid=12 | Acc=0.5253 | F1=0.2846
Running Mean | Seed=42 | pid=14 | Acc=0.5463 | F1=0.3338
Running Mean | Seed=42 | pid=15 | Acc=0.5556 | F1=0.3389
Running Mean | Seed=42 | pid=16 | Acc=0.5397 | F1=0.3147
Running Mean | Seed=42 | pid=17 | Acc=0.5630 | F1=0.3560
Running Mean | Seed=42 | pid=18 | Acc=0.5486 | F1=0.3587
Running Mean | Seed=42 | pid=19 | Acc=0.5425 | F1=0.3738
Running Mean | Seed=42 | pid=20 | Acc=0.5617 | F1=0.3530
Running Mean | Seed=42 | pid=21 | Acc=0.5614 | F1=0.3345
Running Mean | Seed=42 | pid=22 | Acc=0.5722 | F1=0.3177
Running Mean | Seed=42 | pid=23 | Acc=0.5767 | F1=0.3217
Running Mean | Seed=42 | pid=24 | Acc=0.5859 | F1=0.3070
Running Mean | Seed=42 | pid=25 | Acc=0.5942 | F1=0.3154
Running Mean | Seed=42 | pid=26 | Acc=0.6111 | F1=0.3439
Running Mean | Seed=42 | pid=27 | Acc=0.6000 | F1=0.3462
Running Mean | Seed=42 | pid=28 | Acc=0.5769 | F1=0.3329
Running Mean | Seed=42 | pid=29 | Acc=0.5761 | F1=0.3205
Running Mean | Seed=42 | pid=31 | Acc=0.5675 | F1=0.3270
Running Mean | Seed=42 | pid=32 | Acc=0.5632 | F1=0.3157
Running Mean | Seed=42 | pid=33 | Acc=0.5556 | F1=0.3052
Running Mean | Seed=42 | pid=34 | Acc=0.5627 | F1=0.2953
Running Mean | Seed=42 | pid=35 | Acc=0.5556 | F1=0.3017
Running Mean | Seed=42 | pid=36 | Acc=0.5488 | F1=0.3047
Running Mean | Seed=42 | pid=37 | Acc=0.5458 | F1=0.3088
Running Mean | Seed=42 | pid=38 | Acc=0.5460 | F1=0.3095
Running Mean | Seed=42 | pid=39 | Acc=0.5494 | F1=0.3168
Running Mean | Seed=42 | pid=40 | Acc=0.5435 | F1=0.3150
Running Mean | Seed=43 | pid=1 | Acc=0.4940 | F1=0.1575
Running Mean | Seed=43 | pid=2 | Acc=0.4940 | F1=0.2686
Running Mean | Seed=43 | pid=3 | Acc=0.5310 | F1=0.3598
Running Mean | Seed=43 | pid=4 | Acc=0.5357 | F1=0.3092
Running Mean | Seed=43 | pid=5 | Acc=0.5384 | F1=0.2789
Running Mean | Seed=43 | pid=6 | Acc=0.5588 | F1=0.2586
Running Mean | Seed=43 | pid=8 | Acc=0.5416 | F1=0.2620
Running Mean | Seed=43 | pid=9 | Acc=0.5426 | F1=0.2490
Running Mean | Seed=43 | pid=10 | Acc=0.5310 | F1=0.2388
Running Mean | Seed=43 | pid=11 | Acc=0.5495 | F1=0.2640
Running Mean | Seed=43 | pid=12 | Acc=0.5495 | F1=0.2868
Running Mean | Seed=43 | pid=14 | Acc=0.5542 | F1=0.3093
Running Mean | Seed=43 | pid=15 | Acc=0.5581 | F1=0.3130
Running Mean | Seed=43 | pid=16 | Acc=0.5495 | F1=0.3109
Running Mean | Seed=43 | pid=17 | Acc=0.5607 | F1=0.3318
Running Mean | Seed=43 | pid=18 | Acc=0.5600 | F1=0.3365
Running Mean | Seed=43 | pid=19 | Acc=0.5594 | F1=0.3456
Running Mean | Seed=43 | pid=20 | Acc=0.5557 | F1=0.3351
Running Mean | Seed=43 | pid=21 | Acc=0.5554 | F1=0.3258
Running Mean | Seed=43 | pid=22 | Acc=0.5607 | F1=0.3174
Running Mean | Seed=43 | pid=23 | Acc=0.5628 | F1=0.3193
Running Mean | Seed=43 | pid=24 | Acc=0.5672 | F1=0.3119
Running Mean | Seed=43 | pid=25 | Acc=0.5761 | F1=0.3269
Running Mean | Seed=43 | pid=26 | Acc=0.5820 | F1=0.3377
Running Mean | Seed=43 | pid=27 | Acc=0.5762 | F1=0.3355
Running Mean | Seed=43 | pid=28 | Acc=0.5709 | F1=0.3287
Running Mean | Seed=43 | pid=29 | Acc=0.5722 | F1=0.3223
Running Mean | Seed=43 | pid=31 | Acc=0.5674 | F1=0.3254
Running Mean | Seed=43 | pid=32 | Acc=0.5649 | F1=0.3196
Running Mean | Seed=43 | pid=33 | Acc=0.5607 | F1=0.3142
Running Mean | Seed=43 | pid=34 | Acc=0.5657 | F1=0.3091
Running Mean | Seed=43 | pid=35 | Acc=0.5634 | F1=0.3140
Running Mean | Seed=43 | pid=36 | Acc=0.5597 | F1=0.3153
Running Mean | Seed=43 | pid=37 | Acc=0.5594 | F1=0.3180
Running Mean | Seed=43 | pid=38 | Acc=0.5575 | F1=0.3175
Running Mean | Seed=43 | pid=39 | Acc=0.5557 | F1=0.3131
Running Mean | Seed=43 | pid=40 | Acc=0.5526 | F1=0.3123
Running Mean | Seed=111 | pid=1 | Acc=0.5536 | F1=0.3193
Running Mean | Seed=111 | pid=2 | Acc=0.5350 | F1=0.3113
Running Mean | Seed=111 | pid=3 | Acc=0.5412 | F1=0.3563
Running Mean | Seed=111 | pid=4 | Acc=0.5258 | F1=0.3193
Running Mean | Seed=111 | pid=5 | Acc=0.5387 | F1=0.2971
Running Mean | Seed=111 | pid=6 | Acc=0.5474 | F1=0.2822
Running Mean | Seed=111 | pid=8 | Acc=0.5430 | F1=0.2853
Running Mean | Seed=111 | pid=9 | Acc=0.5443 | F1=0.2756
Running Mean | Seed=111 | pid=10 | Acc=0.5330 | F1=0.2681
Running Mean | Seed=111 | pid=11 | Acc=0.5461 | F1=0.2621
Running Mean | Seed=111 | pid=12 | Acc=0.5468 | F1=0.2774
Running Mean | Seed=111 | pid=14 | Acc=0.5536 | F1=0.2960
Running Mean | Seed=111 | pid=15 | Acc=0.5564 | F1=0.2995
Running Mean | Seed=111 | pid=16 | Acc=0.5588 | F1=0.2929
Running Mean | Seed=111 | pid=17 | Acc=0.5659 | F1=0.3080
Running Mean | Seed=111 | pid=18 | Acc=0.5651 | F1=0.3122
Running Mean | Seed=111 | pid=19 | Acc=0.5644 | F1=0.3192
Running Mean | Seed=111 | pid=20 | Acc=0.5659 | F1=0.3130
Running Mean | Seed=111 | pid=21 | Acc=0.5652 | F1=0.3075
Running Mean | Seed=111 | pid=22 | Acc=0.5702 | F1=0.3025
Running Mean | Seed=111 | pid=23 | Acc=0.5712 | F1=0.3044
Running Mean | Seed=111 | pid=24 | Acc=0.5738 | F1=0.3000
Running Mean | Seed=111 | pid=25 | Acc=0.5777 | F1=0.3084
Running Mean | Seed=111 | pid=26 | Acc=0.5813 | F1=0.3162
Running Mean | Seed=111 | pid=27 | Acc=0.5787 | F1=0.3156
Running Mean | Seed=111 | pid=28 | Acc=0.5749 | F1=0.3115
Running Mean | Seed=111 | pid=29 | Acc=0.5769 | F1=0.3077
Running Mean | Seed=111 | pid=31 | Acc=0.5734 | F1=0.3101
Running Mean | Seed=111 | pid=32 | Acc=0.5702 | F1=0.3066
Running Mean | Seed=111 | pid=33 | Acc=0.5708 | F1=0.3107
Running Mean | Seed=111 | pid=34 | Acc=0.5739 | F1=0.3074
Running Mean | Seed=111 | pid=35 | Acc=0.5721 | F1=0.3107
Running Mean | Seed=111 | pid=36 | Acc=0.5681 | F1=0.3098
Running Mean | Seed=111 | pid=37 | Acc=0.5644 | F1=0.3104
Running Mean | Seed=111 | pid=38 | Acc=0.5641 | F1=0.3075
Running Mean | Seed=111 | pid=39 | Acc=0.5628 | F1=0.3047
Running Mean | Seed=111 | pid=40 | Acc=0.5616 | F1=0.3021
Seed-wise mean results:
         seed              acc               f1
0          42         0.543544          0.31497
1          43         0.561562         0.309537
2         111          0.57958         0.281855
3  Mean ± Std  0.5616 ± 0.0180  0.3021 ± 0.0178
Saved LOSO predictions to: output/VAE-PPG-AROUSAL-SIMPLE-predictions.npz
