The Number of entries of High Arousal: 114 & Low Arousal: 219
The Number of entries of High Valence: 202 & Low Valence: 131
The Number of entries of Positive Task: 148 & Negative Task: 185
Running Mean | Seed=42 | pid=1 | Acc=0.7778 | F1=0.8000
Running Mean | Seed=42 | pid=2 | Acc=0.7222 | F1=0.7636
Running Mean | Seed=42 | pid=3 | Acc=0.7407 | F1=0.7758
Running Mean | Seed=42 | pid=4 | Acc=0.7222 | F1=0.7485
Running Mean | Seed=42 | pid=5 | Acc=0.7111 | F1=0.7321
Running Mean | Seed=42 | pid=6 | Acc=0.7222 | F1=0.7351
Running Mean | Seed=42 | pid=8 | Acc=0.7460 | F1=0.7525
Running Mean | Seed=42 | pid=9 | Acc=0.7778 | F1=0.7835
Running Mean | Seed=42 | pid=10 | Acc=0.7654 | F1=0.7599
Running Mean | Seed=42 | pid=11 | Acc=0.7667 | F1=0.7589
Running Mean | Seed=42 | pid=12 | Acc=0.7778 | F1=0.7707
Running Mean | Seed=42 | pid=14 | Acc=0.7870 | F1=0.7779
Running Mean | Seed=42 | pid=15 | Acc=0.7949 | F1=0.7840
Running Mean | Seed=42 | pid=16 | Acc=0.7937 | F1=0.7816
Running Mean | Seed=42 | pid=17 | Acc=0.8074 | F1=0.7962
Running Mean | Seed=42 | pid=18 | Acc=0.8125 | F1=0.8020
Running Mean | Seed=42 | pid=19 | Acc=0.8170 | F1=0.8071
Running Mean | Seed=42 | pid=20 | Acc=0.8148 | F1=0.8067
Running Mean | Seed=42 | pid=21 | Acc=0.8187 | F1=0.8093
Running Mean | Seed=42 | pid=22 | Acc=0.8111 | F1=0.8022
Running Mean | Seed=42 | pid=23 | Acc=0.8201 | F1=0.8116
Running Mean | Seed=42 | pid=24 | Acc=0.8081 | F1=0.8020
Running Mean | Seed=42 | pid=25 | Acc=0.7971 | F1=0.7816
Running Mean | Seed=42 | pid=26 | Acc=0.7870 | F1=0.7699
Running Mean | Seed=42 | pid=27 | Acc=0.7867 | F1=0.7691
Running Mean | Seed=42 | pid=28 | Acc=0.7863 | F1=0.7684
Running Mean | Seed=42 | pid=29 | Acc=0.7819 | F1=0.7646
Running Mean | Seed=42 | pid=31 | Acc=0.7897 | F1=0.7730
Running Mean | Seed=42 | pid=32 | Acc=0.7893 | F1=0.7722
Running Mean | Seed=42 | pid=33 | Acc=0.7926 | F1=0.7761
Running Mean | Seed=42 | pid=34 | Acc=0.7885 | F1=0.7726
Running Mean | Seed=42 | pid=35 | Acc=0.7847 | F1=0.7711
Running Mean | Seed=42 | pid=36 | Acc=0.7811 | F1=0.7698
Running Mean | Seed=42 | pid=37 | Acc=0.7843 | F1=0.7733
Running Mean | Seed=42 | pid=38 | Acc=0.7810 | F1=0.7676
Running Mean | Seed=42 | pid=39 | Acc=0.7747 | F1=0.7648
Running Mean | Seed=42 | pid=40 | Acc=0.7718 | F1=0.7637
Running Mean | Seed=43 | pid=1 | Acc=0.7192 | F1=0.7455
Running Mean | Seed=43 | pid=2 | Acc=0.6914 | F1=0.7137
Running Mean | Seed=43 | pid=3 | Acc=0.7192 | F1=0.7364
Running Mean | Seed=43 | pid=4 | Acc=0.7192 | F1=0.7311
Running Mean | Seed=43 | pid=5 | Acc=0.7303 | F1=0.7413
