The Number of entries of High Arousal: 114 & Low Arousal: 219
The Number of entries of High Valence: 202 & Low Valence: 131
The Number of entries of Positive Task: 148 & Negative Task: 185
Running Mean | Seed=42 | pid=1 | Acc=0.5556 | F1=0.5000
Running Mean | Seed=42 | pid=2 | Acc=0.5000 | F1=0.5227
Running Mean | Seed=42 | pid=3 | Acc=0.5556 | F1=0.4818
Running Mean | Seed=42 | pid=4 | Acc=0.5000 | F1=0.4864
Running Mean | Seed=42 | pid=5 | Acc=0.5556 | F1=0.5558
Running Mean | Seed=42 | pid=6 | Acc=0.5000 | F1=0.5002
Running Mean | Seed=42 | pid=8 | Acc=0.4921 | F1=0.4695
Running Mean | Seed=42 | pid=9 | Acc=0.4722 | F1=0.4421
Running Mean | Seed=42 | pid=10 | Acc=0.4938 | F1=0.4738
Running Mean | Seed=42 | pid=11 | Acc=0.5444 | F1=0.5264
Running Mean | Seed=42 | pid=12 | Acc=0.5051 | F1=0.4967
Running Mean | Seed=42 | pid=14 | Acc=0.5000 | F1=0.4924
Running Mean | Seed=42 | pid=15 | Acc=0.4872 | F1=0.4930
Running Mean | Seed=42 | pid=16 | Acc=0.5159 | F1=0.5212
Running Mean | Seed=42 | pid=17 | Acc=0.5407 | F1=0.5436
Running Mean | Seed=42 | pid=18 | Acc=0.5556 | F1=0.5597
Running Mean | Seed=42 | pid=19 | Acc=0.5359 | F1=0.5398
Running Mean | Seed=42 | pid=20 | Acc=0.5432 | F1=0.5543
Running Mean | Seed=42 | pid=21 | Acc=0.5439 | F1=0.5514
Running Mean | Seed=42 | pid=22 | Acc=0.5444 | F1=0.5538
Running Mean | Seed=42 | pid=23 | Acc=0.5450 | F1=0.5592
Running Mean | Seed=42 | pid=24 | Acc=0.5556 | F1=0.5565
Running Mean | Seed=42 | pid=25 | Acc=0.5507 | F1=0.5447
Running Mean | Seed=42 | pid=26 | Acc=0.5463 | F1=0.5477
Running Mean | Seed=42 | pid=27 | Acc=0.5422 | F1=0.5436
Running Mean | Seed=42 | pid=28 | Acc=0.5427 | F1=0.5419
Running Mean | Seed=42 | pid=29 | Acc=0.5432 | F1=0.5465
Running Mean | Seed=42 | pid=31 | Acc=0.5476 | F1=0.5556
Running Mean | Seed=42 | pid=32 | Acc=0.5479 | F1=0.5536
Running Mean | Seed=42 | pid=33 | Acc=0.5556 | F1=0.5602
Running Mean | Seed=42 | pid=34 | Acc=0.5412 | F1=0.5486
Running Mean | Seed=42 | pid=35 | Acc=0.5382 | F1=0.5404
Running Mean | Seed=42 | pid=36 | Acc=0.5354 | F1=0.5426
Running Mean | Seed=42 | pid=37 | Acc=0.5458 | F1=0.5528
Running Mean | Seed=42 | pid=38 | Acc=0.5492 | F1=0.5561
Running Mean | Seed=42 | pid=39 | Acc=0.5401 | F1=0.5468
Running Mean | Seed=42 | pid=40 | Acc=0.5465 | F1=0.5523
Running Mean | Seed=43 | pid=1 | Acc=0.5511 | F1=0.5261
Running Mean | Seed=43 | pid=2 | Acc=0.5511 | F1=0.5261
Running Mean | Seed=43 | pid=3 | Acc=0.5696 | F1=0.4428
