Modality,Model,Target label,Task,Threshold,Accuracy,F1,AUC,TPR,FPR,Youden J,N,Positive rate
EDA,MLP,arousal_category,AROUSAL,0.484,0.58,0.493,0.569,0.596,0.429,0.167,333,0.342
EDA,VAE,arousal_category,AROUSAL,0.428,0.577,0.522,0.592,0.675,0.475,0.201,333,0.342
EDA,MLP,stimulus-label,STIMULUS-LABEL,0.45,0.88,0.863,0.869,0.851,0.097,0.754,333,0.444
EDA,VAE,stimulus-label,STIMULUS-LABEL,0.565,0.871,0.85,0.864,0.824,0.092,0.732,333,0.444
EDA,MLP,valence_category,VALENCE,0.428,0.595,0.67,0.579,0.678,0.534,0.144,333,0.607
EDA,VAE,valence_category,VALENCE,0.634,0.544,0.516,0.591,0.401,0.237,0.164,333,0.607
PPG,MLP,arousal_category,AROUSAL,0.55,0.586,0.434,0.542,0.465,0.352,0.113,333,0.342
PPG,VAE,arousal_category,AROUSAL,0.615,0.616,0.379,0.553,0.342,0.242,0.1,333,0.342
PPG,MLP,stimulus-label,STIMULUS-LABEL,0.573,0.811,0.784,0.861,0.77,0.157,0.614,333,0.444
PPG,VAE,stimulus-label,STIMULUS-LABEL,0.639,0.817,0.787,0.864,0.764,0.141,0.623,333,0.444
PPG,MLP,valence_category,VALENCE,0.331,0.64,0.736,0.6,0.827,0.649,0.178,333,0.607
PPG,VAE,valence_category,VALENCE,0.681,0.541,0.502,0.599,0.381,0.214,0.167,333,0.607
TEXT,MLP,arousal_category,AROUSAL,0.893,0.681,0.258,0.476,0.162,0.048,0.114,288,0.344
TEXT,VAE,arousal_category,AROUSAL,0.922,0.681,0.281,0.492,0.182,0.058,0.124,288,0.344
TEXT,MLP,stimulus-label,STIMULUS-LABEL,0.059,0.885,0.892,0.947,0.944,0.174,0.771,288,0.5
TEXT,MLP,valence_category,VALENCE,0.623,0.677,0.687,0.714,0.618,0.244,0.374,288,0.573
