Modality,Model,Target,Threshold,Accuracy,F1,AUC
EDA,MLP-Classifier,\texttt{arousal\_category},0.500,0.558 ± 0.010,0.455 ± 0.029,0.554 ± 0.016
EDA,MLP-Classifier,\texttt{valence\_category},0.500,0.525 ± 0.011,0.534 ± 0.013,0.577 ± 0.014
EDA,MLP-Classifier,\texttt{stimulus-label},0.500,0.873 ± 0.001,0.854 ± 0.003,0.869 ± 0.005
EDA,VAE-Classifier,\texttt{arousal\_category},0.500,0.580 ± 0.013,0.478 ± 0.001,0.585 ± 0.008
EDA,VAE-Classifier,\texttt{valence\_category},0.500,0.549 ± 0.007,0.586 ± 0.008,0.591 ± 0.012
EDA,VAE-Classifier,\texttt{stimulus-label},0.500,0.837 ± 0.007,0.822 ± 0.007,0.866 ± 0.002
PPG,MLP-Classifier,\texttt{arousal\_category},0.500,0.531 ± 0.010,0.412 ± 0.010,0.534 ± 0.020
PPG,MLP-Classifier,\texttt{valence\_category},0.500,0.561 ± 0.007,0.606 ± 0.012,0.599 ± 0.018
PPG,MLP-Classifier,\texttt{stimulus-label},0.500,0.776 ± 0.019,0.766 ± 0.011,0.853 ± 0.002
PPG,VAE-Classifier,\texttt{arousal\_category},0.500,0.562 ± 0.015,0.434 ± 0.001,0.553 ± 0.013
PPG,VAE-Classifier,\texttt{valence\_category},0.500,0.567 ± 0.014,0.593 ± 0.008,0.596 ± 0.025
PPG,VAE-Classifier,\texttt{stimulus-label},0.500,0.762 ± 0.009,0.760 ± 0.004,0.855 ± 0.005
TEXT,(DISTILLBERT+Proj128) MLP-Classifier,\texttt{arousal\_category},0.500,0.576 ± 0.035,0.319 ± 0.055,0.503 ± 0.026
TEXT,(DISTILLBERT+Proj128) MLP-Classifier,\texttt{valence\_category},0.500,0.648 ± 0.025,0.681 ± 0.028,0.693 ± 0.027
TEXT,(DISTILLBERT+Proj128) MLP-Classifier,\texttt{stimulus-label},0.500,0.861 ± 0.020,0.852 ± 0.024,0.934 ± 0.010
TEXT,(DISTILLBERT+Proj128) VAE-Classifier,\texttt{arousal\_category},0.500,0.565 ± 0.007,0.340 ± 0.040,0.516 ± 0.017
TEXT,(DISTILLBERT+Proj128) VAE-Classifier,\texttt{valence\_category},0.500,0.683 ± 0.021,0.720 ± 0.027,0.719 ± 0.010
TEXT,(DISTILLBERT+Proj128) VAE-Classifier,\texttt{stimulus-label},0.500,0.844 ± 0.022,0.833 ± 0.027,0.924 ± 0.020
EDA+PPG,MoEVAE-Classifier,\texttt{arousal\_category},0.500,0.564 ± 0.009,0.438 ± 0.023,0.578 ± 0.005
