Modality,Model,Target,Threshold_value,Accuracy_mean,Accuracy_std,F1_mean,F1_std,AUC_mean,AUC_std,TPR_mean,TPR_std,FPR_mean,FPR_std
EDA,MLP,\texttt{arousal\_category},0.5,0.5575575575575575,0.01020824727446004,0.454662225168847,0.0293478417281696,0.5539133221180806,0.016012607852639343,0.5409356725146198,0.05375665587967906,0.4337899543378995,0.019372788525658834
EDA,VAE,\texttt{arousal\_category},0.5,0.5795795795795796,0.012974455852668388,0.4775881820119352,0.0007369163728646568,0.5849288365510428,0.008028055355611975,0.5614035087719298,0.018949534205870946,0.4109589041095891,0.029592423280401185
EDA,MLP,\texttt{valence\_category},0.5,0.5245245245245246,0.011056417434621862,0.5337969980710976,0.012897914027255802,0.5772932255057567,0.01384169321493807,0.4488448844884489,0.012993412333352834,0.35877862595419846,0.010795523376893847
EDA,VAE,\texttt{valence\_category},0.5,0.5485485485485485,0.0070781459578232965,0.5856930560740726,0.008299417285403914,0.5907464792280755,0.011902215795371865,0.5264026402640264,0.019939019758406902,0.41730279898218825,0.04150001636208674
EDA,MLP,\texttt{stimulus-label},0.5,0.8728728728728729,0.001415629191564628,0.8541631623212784,0.0029330792860509883,0.8686145605064524,0.005295234622649606,0.8378378378378378,0.011033737580104383,0.0990990990990991,0.0067417250212143095
EDA,VAE,\texttt{stimulus-label},0.5,0.8368368368368367,0.007490805579127028,0.822296426682299,0.006849051584455037,0.8659240321402484,0.0022579374019099843,0.8490990990990991,0.003185165681020452,0.17297297297297298,0.013240485096125288
PPG,MLP,\texttt{arousal\_category},0.5,0.5305305305305305,0.009909404340952605,0.41157434785465535,0.010457406171581144,0.5341931693770195,0.020371322069606367,0.4795321637426901,0.010940518674777596,0.4429223744292237,0.009864141093467062
PPG,VAE,\texttt{arousal\_category},0.5,0.5615615615615616,0.014711650106805906,0.43414273966501576,0.0010813325634969045,0.5529520147400465,0.012507561378869995,0.49122807017543857,0.01432450141978469,0.4018264840182648,0.029826359120647523
PPG,MLP,\texttt{valence\_category},0.5,0.5605605605605606,0.007490805579127029,0.6061174319358482,0.011794314396620981,0.5988713375154309,0.018326112420355846,0.5577557755775578,0.01866948597192201,0.4351145038167939,0.012465596655385129
PPG,VAE,\texttt{valence\_category},0.5,0.5665665665665666,0.014156291915646593,0.5927575208144847,0.008027118423259413,0.5955080240848512,0.024736985780524162,0.5198019801980198,0.00404206228182043,0.361323155216285,0.03652086538017132
PPG,MLP,\texttt{stimulus-label},0.5,0.7757757757757758,0.01904534293337382,0.7656065239551478,0.011336875354083424,0.8534575115656198,0.0020085072621757395,0.8220720720720721,0.02296855636753506,0.26126126126126126,0.051153403843525735
PPG,VAE,\texttt{stimulus-label},0.5,0.7617617617617617,0.008610936203245908,0.7596712197428371,0.004351965143923648,0.8549793036279523,0.004793690408340225,0.8468468468468467,0.011484278183767554,0.30630630630630634,0.024307635249066744
TEXT,MLP,\texttt{arousal\_category},0.5,0.5758101851851852,0.034962517284706514,0.3193456791833456,0.05499298531395095,0.5026437618665053,0.025935171079976022,0.31112823986483856,0.0644790435504729,0.2971575031380309,0.05226051842881818
TEXT,VAE,\texttt{arousal\_category},0.5,0.5532407407407408,0.00681463029809248,0.27816481622736394,0.01114854328157337,0.46430098584721663,0.017785940427973834,0.2677891561641825,0.02101097245395881,0.31068891962634265,0.022441039106614553
TEXT,MLP,\texttt{valence\_category},0.5,0.6479552469135802,0.02500434585379071,0.6812967677321117,0.02805495243682293,0.6932430301338025,0.027211084031304116,0.6500587268029129,0.02914097575227298,0.3544317534387802,0.03235800018595607
TEXT,VAE,\texttt{valence\_category},0.5,0.6832561728395062,0.021306637764635934,0.7199889791982367,0.027461190279644093,0.7189123536501697,0.009563704054922904,0.7047262185095423,0.037372563759506004,0.3470432368394874,0.005680754654558147
TEXT,MLP,\texttt{stimulus-label},0.5,0.8611111111111112,0.019641855032959635,0.852437417654809,0.024222366680962067,0.9342202324817102,0.010213843350676355,0.8055555555555557,0.039283710065919325,0.08333333333333333,0.0
TEXT,VAE,\texttt{stimulus-label},0.5,0.8439429012345679,0.0219619559282034,0.8330289932120595,0.027342635425092084,0.9241460548125287,0.019672456535867775,0.7827932098765432,0.05064750396442602,0.0949074074074074,0.027454393325088266
EDA+TEXT,MoEVAE,\texttt{arousal\_category},0.5,0.5806327160493827,0.011966097545733682,0.2901169045917004,0.01873968516363986,0.5101245382409177,0.013684829658241087,0.2674732752512866,0.032725616150649915,0.2699828432383881,0.032109620303062546
EDA+TEXT,PoEVAE,\texttt{arousal\_category},0.5,0.5916280864197532,0.009166361397003643,0.3080098292192162,0.01970986722055258,0.5138558522585924,0.011078016841308371,0.2824698328166901,0.022830915280987574,0.26107256969299025,0.02288600551632202
EDA+TEXT,MoEVAE,\texttt{valence\_category},0.5,0.6595293209876543,0.022083611023092073,0.708131787641035,0.016562960968334216,0.6839043089858107,0.009861734699771113,0.7119997479044557,0.012168601912452191,0.413289683508626,0.0544132886956368
EDA+TEXT,PoEVAE,\texttt{valence\_category},0.5,0.6554783950617283,0.013241514121705659,0.7072827366805369,0.015266113785648353,0.6794321259482493,0.004830305476181305,0.7190429536430671,0.03308686936462564,0.43217245298148194,0.0571675803391
EDA+TEXT,MoEVAE,\texttt{stimulus-label},0.5,0.8682484567901234,0.008456909805857643,0.8682168388050742,0.011341608064835269,0.9317114001057384,0.010468580409328269,0.8699845679012346,0.03349600936905593,0.13348765432098766,0.022068440811844277
EDA+TEXT,PoEVAE,\texttt{stimulus-label},0.5,0.8811728395061729,0.005774162633910379,0.880994209122259,0.007174397891254081,0.9402164691215136,0.004648682205088611,0.8804012345679012,0.0189318582505946,0.11805555555555557,0.010523288346439699
PPG+TEXT,MoEVAE,\texttt{arousal\_category},0.5,0.5794753086419752,0.017561430056699138,0.3053238807315141,0.011239710113253688,0.5124301069074524,0.026394348696334155,0.2874449571947995,0.024120979435388594,0.28123023967439825,0.04019686463198072
PPG+TEXT,PoEVAE,\texttt{arousal\_category},0.5,0.5796682098765432,0.02232493249873349,0.28518652901012637,0.031862707766337914,0.4960790309787857,0.03032940865014664,0.26197316569399814,0.044202343919383574,0.26959772805964743,0.049703497773791745
PPG+TEXT,MoEVAE,\texttt{valence\_category},0.5,0.6740079365079366,0.035101668195447654,0.731330630980806,0.031569971731914954,0.6971976750972453,0.018889421534962657,0.7803749065608647,0.039921209835646794,0.4709349870519286,0.044296060011944305
