Modality,Model,AUC_\texttt{arousal\_category},AUC_\texttt{stimulus-label},AUC_\texttt{valence\_category},Accuracy_\texttt{arousal\_category},Accuracy_\texttt{stimulus-label},Accuracy_\texttt{valence\_category},F1_\texttt{arousal\_category},F1_\texttt{stimulus-label},F1_\texttt{valence\_category},Threshold_\texttt{arousal\_category},Threshold_\texttt{stimulus-label},Threshold_\texttt{valence\_category}
EDA,MLP,0.554 ± 0.016,0.869 ± 0.005,0.577 ± 0.014,0.558 ± 0.010,0.873 ± 0.001,0.525 ± 0.011,0.455 ± 0.029,0.854 ± 0.003,0.534 ± 0.013,0.500,0.500,0.500
EDA,VAE,0.585 ± 0.008,0.866 ± 0.002,0.591 ± 0.012,0.580 ± 0.013,0.837 ± 0.007,0.549 ± 0.007,0.478 ± 0.001,0.822 ± 0.007,0.586 ± 0.008,0.500,0.500,0.500
EDA+TEXT,MoEVAE,0.510 ± 0.014,0.932 ± 0.010,0.684 ± 0.010,0.581 ± 0.012,0.868 ± 0.008,0.660 ± 0.022,0.290 ± 0.019,0.868 ± 0.011,0.708 ± 0.017,0.500,0.500,0.500
EDA+TEXT,PoEVAE,0.514 ± 0.011,0.940 ± 0.005,0.679 ± 0.005,0.592 ± 0.009,0.881 ± 0.006,0.655 ± 0.013,0.308 ± 0.020,0.881 ± 0.007,0.707 ± 0.015,0.500,0.500,0.500
PPG,MLP,0.534 ± 0.020,0.853 ± 0.002,0.599 ± 0.018,0.531 ± 0.010,0.776 ± 0.019,0.561 ± 0.007,0.412 ± 0.010,0.766 ± 0.011,0.606 ± 0.012,0.500,0.500,0.500
PPG,VAE,0.553 ± 0.013,0.855 ± 0.005,0.596 ± 0.025,0.562 ± 0.015,0.762 ± 0.009,0.567 ± 0.014,0.434 ± 0.001,0.760 ± 0.004,0.593 ± 0.008,0.500,0.500,0.500
PPG+TEXT,MoEVAE,0.512 ± 0.026,0.938 ± 0.021,0.697 ± 0.019,0.579 ± 0.018,0.892 ± 0.014,0.674 ± 0.035,0.305 ± 0.011,0.895 ± 0.013,0.731 ± 0.032,0.500,0.500,0.500
PPG+TEXT,PoEVAE,0.496 ± 0.030,0.927 ± 0.020,0.690 ± 0.042,0.580 ± 0.022,0.875 ± 0.007,0.665 ± 0.035,0.285 ± 0.032,0.877 ± 0.006,0.721 ± 0.028,0.500,0.500,0.500
TEXT,MLP,0.503 ± 0.026,0.934 ± 0.010,0.693 ± 0.027,0.576 ± 0.035,0.861 ± 0.020,0.648 ± 0.025,0.319 ± 0.055,0.852 ± 0.024,0.681 ± 0.028,0.500,0.500,0.500
TEXT,VAE,0.464 ± 0.018,0.924 ± 0.020,0.719 ± 0.010,0.553 ± 0.007,0.844 ± 0.022,0.683 ± 0.021,0.278 ± 0.011,0.833 ± 0.027,0.720 ± 0.027,0.500,0.500,0.500
