Modality,Model,Target,Threshold,Accuracy,F1,AUC
EDA,MLP,\texttt{arousal\_category},0.500,0.558 ± 0.010,0.455 ± 0.029,0.554 ± 0.016
EDA,VAE,\texttt{arousal\_category},0.500,0.580 ± 0.013,0.478 ± 0.001,0.585 ± 0.008
EDA,MLP,\texttt{valence\_category},0.500,0.525 ± 0.011,0.534 ± 0.013,0.577 ± 0.014
EDA,VAE,\texttt{valence\_category},0.500,0.549 ± 0.007,0.586 ± 0.008,0.591 ± 0.012
EDA,MLP,\texttt{stimulus-label},0.500,0.873 ± 0.001,0.854 ± 0.003,0.869 ± 0.005
EDA,VAE,\texttt{stimulus-label},0.500,0.837 ± 0.007,0.822 ± 0.007,0.866 ± 0.002
PPG,MLP,\texttt{arousal\_category},0.500,0.531 ± 0.010,0.412 ± 0.010,0.534 ± 0.020
PPG,VAE,\texttt{arousal\_category},0.500,0.562 ± 0.015,0.434 ± 0.001,0.553 ± 0.013
PPG,MLP,\texttt{valence\_category},0.500,0.561 ± 0.007,0.606 ± 0.012,0.599 ± 0.018
PPG,VAE,\texttt{valence\_category},0.500,0.567 ± 0.014,0.593 ± 0.008,0.596 ± 0.025
PPG,MLP,\texttt{stimulus-label},0.500,0.776 ± 0.019,0.766 ± 0.011,0.853 ± 0.002
PPG,VAE,\texttt{stimulus-label},0.500,0.762 ± 0.009,0.760 ± 0.004,0.855 ± 0.005
TEXT,MLP,\texttt{arousal\_category},0.500,0.576 ± 0.035,0.319 ± 0.055,0.503 ± 0.026
TEXT,VAE,\texttt{arousal\_category},0.500,0.553 ± 0.007,0.278 ± 0.011,0.464 ± 0.018
TEXT,MLP,\texttt{valence\_category},0.500,0.648 ± 0.025,0.681 ± 0.028,0.693 ± 0.027
TEXT,VAE,\texttt{valence\_category},0.500,0.683 ± 0.021,0.720 ± 0.027,0.719 ± 0.010
TEXT,MLP,\texttt{stimulus-label},0.500,0.861 ± 0.020,0.852 ± 0.024,0.934 ± 0.010
TEXT,VAE,\texttt{stimulus-label},0.500,0.844 ± 0.022,0.833 ± 0.027,0.924 ± 0.020
EDA+TEXT,MoEVAE,\texttt{arousal\_category},0.500,0.581 ± 0.012,0.290 ± 0.019,0.510 ± 0.014
EDA+TEXT,PoEVAE,\texttt{arousal\_category},0.500,0.592 ± 0.009,0.308 ± 0.020,0.514 ± 0.011
EDA+TEXT,MoEVAE,\texttt{valence\_category},0.500,0.660 ± 0.022,0.708 ± 0.017,0.684 ± 0.010
EDA+TEXT,PoEVAE,\texttt{valence\_category},0.500,0.655 ± 0.013,0.707 ± 0.015,0.679 ± 0.005
EDA+TEXT,MoEVAE,\texttt{stimulus-label},0.500,0.868 ± 0.008,0.868 ± 0.011,0.932 ± 0.010
EDA+TEXT,PoEVAE,\texttt{stimulus-label},0.500,0.881 ± 0.006,0.881 ± 0.007,0.940 ± 0.005
PPG+TEXT,MoEVAE,\texttt{arousal\_category},0.500,0.579 ± 0.018,0.305 ± 0.011,0.512 ± 0.026
PPG+TEXT,PoEVAE,\texttt{arousal\_category},0.500,0.580 ± 0.022,0.285 ± 0.032,0.496 ± 0.030
PPG+TEXT,MoEVAE,\texttt{valence\_category},0.500,0.674 ± 0.035,0.731 ± 0.032,0.697 ± 0.019
PPG+TEXT,PoEVAE,\texttt{valence\_category},0.500,0.665 ± 0.035,0.721 ± 0.028,0.690 ± 0.042
PPG+TEXT,MoEVAE,\texttt{stimulus-label},0.500,0.892 ± 0.014,0.895 ± 0.013,0.938 ± 0.021
PPG+TEXT,PoEVAE,\texttt{stimulus-label},0.500,0.875 ± 0.007,0.877 ± 0.006,0.927 ± 0.020
